mag_and_cluster	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
MAG_952_20;terpene	0	0	0	0	0	0	1.1778351820217647	1.0768245415104645
MAG_1264_97;hglE-KS	0	0.317183493610144	0	0	0.9990558036734251	1.2156589782262786	0	0
MAG_771_1;hserlactone	0.5605873386422807	0	0.17011375946063928	0	1.2091791383150174	0.16022717971108544	0.5491911725409221	0.3645470273505716
MAG_1535_55;hglE-KS	0	0	0	0	0.6688822042664835	1.632218862744826	0	0
MAG_1224_47;ladderane	1.5373215444656	0.9212860495434183	0	0	0	0	0	0
MAG_49_5;ladderane	1.2895687360728318	1.4123696940632848	0	0	0	0	0	0
MAG_567_33;betalactone	1.3637834503970874	1.4367493460379395	0	0	0	0	0	0
MAG_59_18;RiPP-like	0	0	0.6311513648798953	0.18903722935067518	0	0.18553305323515273	1.428948953360453	1.0651156422564532
MAG_1414_4;NRPS-like	1.83249786876707	0.9010430530995561	0	0	0	0	0	0
MAG_336_62;betalactone	0.13532962511372737	0	0	0	1.3763600303333337	1.5996952110117117	0	0
MAG_1627_40;ranthipeptide	1.8422450198343465	1.0074206793425486	0	0	0	0.25003254034322564	0	0
MAG_1109_23;terpene	1.3205732881768224	0.9693593604955932	0	0	0.8001970101577095	1.1237299434781947	0	0
MAG_1264_7;hglE-KS	1.1021032152076429	0.711376851197296	0	0	0.8524491502949894	1.4787259335533731	0	0
MAG_16_86;betalactone	0	0	0	0.3028756217706707	0	0	1.435998996221917	1.6824943259413512
MAG_1425_59;NRPS-like	0	0.4419000049122485	0	0	1.534017340589404	1.5845072437378487	0	0
MAG_741_1;betalactone	0	0	0.4481701703436149	1.3711684244485065	0	0	1.3038178008836774	1.1514441390875583
MAG_1414_5;ladderane	1.7157968605209777	1.5506205590419684	0	0	0	0.10648727752749437	0	0
MAG_112_8;betalactone	1.5205580357663355	1.7125734438279552	0	0	0.27869784686507737	0	0	0
MAG_1396_189;ranthipeptide	0.5623940175434776	1.1732464557900122	0	0	1.7154419803070486	1.0871841583680562	0	0
MAG_1627_57;RRE-containing	1.8443381412541333	1.778728559144335	0	0	0	0.8675151214564518	0	0
MAG_336_20;T1PKS	0	0.1821972875827496	0	0	2.1574462832077934	1.61260821978149	0	0
MAG_1264_117;LAP	0	1.2961622076665154	0	0	1.6989349063803438	1.854345778584738	0	0
MAG_1414_10;ladderane	2.3431268855708187	1.4951638067469268	0	0	0	0	0	0
MAG_522_7;ranthipeptide	2.0025077917579566	1.3086262528414292	0	0	1.670228563124204	0	0	0
MAG_428_29;ranthipeptide	2.402463406200319	0.8242408390789729	0	0	0.6853787899014019	0.7774047395797198	0	0
MAG_522_3;NRPS-like	1.9873776906875182	2.1799551044816603	0	0	0	0	0	0
MAG_418_10;terpene	0	0	1.5204414654076979	1.4265966168720614	0	0	2.040504681315574	0.9964650126400595
MAG_1469_7;terpene	1.633757040554831	0.37494472803094403	0	0	2.0174844841614727	2.0980241349764674	0	0
MAG_1371_12;terpene	0.892039766436057	0.5559464383415548	0	0	1.6264955504027696	2.5934643986494597	0	0
MAG_1079_1;NRPS-like	1.6600627412800868	2.464431519730788	0	0	0.19561203470229221	1.5018583443568292	0	0
MAG_1092_138;betalactone	1.1866836587948648	0.6125574669409457	0	0	2.293472744084823	2.094602619921593	0	0
MAG_1092_108;arylpolyene	1.1927351200774017	0.49637642419637656	0	0	2.535744678455843	2.566457783279961	0	0
MAG_2_25;T1PKS	0	0	0.10814846819357864	0.25879981033587673	0	0	3.097395969800888	2.288266141553394
MAG_1441_6;T3PKS	3.491884893304816	2.115726398380985	0	0	0	0	0	0
MAG_1679_34;terpene	0	0	1.264779549842606	1.7685903039341548	0	0.24322958532858405	3.4587825889003185	3.1931434121969122
MAG_16_7;betalactone	0	0.1809462401924011	0	0	0.516223112390923	0	3.836516122474616	3.323659651725588
MAG_1679_42;terpene	0	0	2.0012001683815437	2.112210807326864	0	0	3.3253852354104425	3.5671672869822606
MAG_1605_92;arylpolyene	3.642365226244749	3.554623532110475	1.762616479612992	1.6412695779206636	2.4564950709013176	2.6568200196715845	1.8555048513392536	1.9447604962172245
MAG_1583_1;betalactone	0.4255758484418559	0	3.6906187512318245	3.7682835868837987	0.21115898102095193	0	4.2314194291764	3.9958956510417925
MAG_1092_3;ranthipeptide	2.6570261700814575	2.919782165764513	0	0.3085814083636563	4.561414520472478	4.700665992372666	0.1256530281183449	0
MAG_1264_16;RRE-containing	3.078517220076611	3.3869839430033717	0	0	4.644761543249481	5.201817953545095	0	0
MAG_975_160;NRPS	0	0	0	0	0.018348861869144265	0	0	0
MAG_975_193;NRPS	0	0	0	0	0.037575453590438054	0	0	0
