mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_187_22;RiPP-like	0	0	0	0	1.5089319043768068	0	0	0	0	0	0.5547501613180839	0	0	0	0	0
MAG_209_3;betalactone	0	0	0	0	0	0	0	0	0.6688363279664025	0.21863753490101032	0.7520527026969223	0.6821801859932465	0.5787702099584014	0.43755219796622413	0	0
MAG_109_4;RRE-containing	0	0	0.31824356187724845	0	0	0	0	0.30003096851508687	0.3153675738022351	0.3073694844076551	0.4262040880642188	0.5409067810275399	0	0.2811605011136064	0.8759365893482671	0.6371406591377969
MAG_116_3;terpene	0	0	0	0	1.0525917411424244	1.4597453538142084	0	0	0	0	0.2916932000204785	0	0	0	0	0
MAG_209_67;terpene	0	0	0.5353435606876706	0	0	0	0	0	0.31285143596466275	0.25931686476337285	0.6071325361724572	0.5871405479392964	1.0309946656308369	0.5490535415247221	0	0
MAG_773_22;terpene	0	0	0.7098477927889874	0	0	0	0	0	1.54569178678912	0	0	0.2571964635124735	0	0.7155825834704704	0	0.5050946906940903
MAG_864_11;phosphonate	0.8732980280506448	0	0	0	0	0	0	0	0.6691859541114712	0.3482217713009001	0.14321862069996427	0.4448500112870608	0.8484942974717569	1.079419598105058	0	0
MAG_952_20;terpene	0	0	0	0	0	0	0.38282427653087986	0.2928533008523757	0.41303556972706346	0.6218712805600325	0.27158622115982284	0.5912361774947511	0	0	1.562260711772408	0.3678599915103642
MAG_774_5;terpene	0	0.32781462234128234	0.19256871158323383	0	0	0	0	0	0.6865038385805086	1.2439625290633007	0.7879496941517247	0.8447410876983595	0	0.3046254898453028	0.7904426361161063	0.697788371787938
MAG_293_81;PUFA	0	0	0	0	0	0	0.063270121541048	0	0.3459933560754261	0.8912215616957783	0.6567760418653635	0.6059479990411274	0.07004677351924025	0	1.0829413955601395	1.791943413595315
MAG_864_15;ladderane	0	0	0.24842332058494804	0	0	1.7188754599249836	0	0	0	0.9369029138571171	0.5817934844032671	0.24479232708675028	0.865854226431315	1.7711762661015156	0	0
MAG_1540_5;terpene	0	1.6717152965932711	0.5363347723569438	0	0	0	0	0	1.5478919710833299	1.092439435224706	1.0700973369371205	0.469650474126189	0.3431112878791094	0	1.9389505072792526	1.1081087683294197
MAG_774_40;other	0	0	0.3533360221360764	0	0	0	0	0	1.673462035362536	2.054917494529577	1.1687531723621432	1.313615151491084	1.6424008380569306	0.3542342994733064	1.1996456723769786	1.4050449742609854
