mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_1002_32;T1PKS	0.6422783023349312	0.81819028652919	0.33728141853194443	0.2972743525030656	0.7887433747990091	0.8578367809848858	0	0	0	0	0	0	0	0	0	0
MAG_743_19;thiopeptide	0	1.8810673891168694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_996_165;terpene	0	0	0.3545288901794299	0	1.2650667051239741	1.34266021031295	0	0	0	0	0	0	0	0	0	0
MAG_27_7;terpene	0	0.5211791788246044	1.284903873911651	0	0.7855710279563242	0.8632949648200654	0	0	0	0	0	0	0	0	0	0
MAG_1431_6;RRE-containing	0	1.181449237511777	0.4943106626187809	0	0.9576146415691044	0.9539883870937291	0	0	0	0	0	0	0	0	0	0
MAG_1239_11;T1PKS	0.97149542427	0.152270908834948	0.46746603575160295	0.8993115905131857	0.14536474302850266	0.07486862728412971	0.9798059433721136	0.3715710986055992	0.5064044857232842	0	0	0	0	0	0	0
MAG_1556_3;T1PKS	0	0	0	0	0.8668057428384864	1.9009652781867963	0	0	0	0	0	0	0	0	0	0
MAG_218_67;terpene	1.3151555523199123	1.08549454795386	0.7406116193335944	0.2529299020944552	0.29946669224577627	0	0.5369280778376404	0.3304970516665099	0	0	0	0	0	0	0	0
MAG_1002_27;T1PKS	1.5297336648884405	1.1989049420978255	0.3914041571610002	0	0.775961111664039	0	0	0	0.07631107453718163	0	0.1588907905797798	0.04492371954165082	0	0	0	0
MAG_1002_27;NRPS-like	1.3059478283116588	0	0.9666973634133526	0	0	1.4015598624603265	0.5740319406246376	0	0	0	0	0	0	0	0	0
MAG_1002_14;phosphonate	0.8898286512129505	0.6971987661839059	1.2112192269700899	0	0.28774333063858065	1.3935207891610908	0	0	0	0	0	0	0	0	0	0
MAG_916_24;proteusin	0.4285012439122914	0	1.1273489079758474	0.5477222440655918	1.5807334270093012	1.0858529438879845	0	0.7279736516846547	0	0	0	0.34795406380475	0	0	0	0
MAG_1199_3;RRE-containing	0	0	0.3554751631061384	1.0498589263420657	0.7545103452214399	2.2414456083750185	0	0	0	0	0	0	0	0	0	0
MAG_1239_18;betalactone	0.794153210767577	2.338422894921288	0.17481688744295704	0	0	0.2594059850625138	0.6901257994503238	0	0	0	0	0	0	0	0	0
MAG_604_10;phosphonate	1.3418861042387202	0.9019958156169694	1.2221652264109786	0	1.546460801150021	0.971363704903733	0	0	0	0	0	0	0.04711598451641443	0	0	0
MAG_24_6;ladderane	0.5201105274443677	1.2255123130754542	0	0	1.9336524895693432	1.4227349826707454	0	0.8257990218571275	0	0	0	0	0	0	0	0
MAG_218_188;terpene	2.301347619670113	0.19826471746165453	1.319822676260495	0	0.6651753475427341	0.252285539984185	0.1242679812572542	0.12759999366939553	0	0	0	0	0	0	0	0
MAG_1239_2;RiPP-like	2.185538682165166	0	0.23877825080622936	0	0	1.2383804853512534	0.8813523609523553	0.9454177263982969	0	0	0	0	0	0	0	0
MAG_1454_16;terpene	1.6586287788300995	1.4010747652603075	1.5742242959000814	0.6497826316317161	1.269595613618465	1.3181577516290264	0.4712320818300512	0	0	0	0	0	0	0	0	0
MAG_218_41;redox-cofactor	0.5497926234958331	1.6364851648497927	1.5414640029627518	0.9901917849166991	0.8492992224107379	1.6656220185437458	0.6838864232375845	0.8567721702457343	0	0	0	0	0	0	0	0
MAG_218_103;terpene	2.0616950177881623	2.1566514204832874	1.020817031093959	0.6630099230783358	1.0340847771383237	0.7325052164590617	0.7653400415056855	0.19186286970319427	0	0	0	0	0	0	0	0
MAG_1454_13;NRPS	1.719202884025639	2.3293874309510794	0.7976553377313365	0.9677906952261865	1.378830835725235	0.8080333644804403	0.51149249133559	0.1762771183609448	0	0	0	0	0	0	0	0
MAG_1556_24;terpene	0.808847235299429	1.7229346256457299	0.10009471736956371	0	0.41535738013572265	1.6582420782086318	0.5027360058635806	0.6240287941193835	1.8339143341833202	0.9661961192041408	0.3216749170117219	0.08582296732021641	0.7127450937994022	0.6161227532394284	0.6690647144658346	0.5516961697864096
MAG_916_14;proteusin	0	1.8449942364190217	2.43750672831264	1.7920565815292058	0	0	0.9293459187607825	0.5084786479888863	0	0	0	0.1284775335316235	0.16168065954389602	0	0	0
MAG_1454_13;T1PKS	2.0129701137941836	2.3662586646430817	1.753525975852281	0.9570111289804392	1.3421366321713102	0.45645799000091675	0.7197159461250662	0.43547082665433073	0	0	0	0	0	0	0	0
MAG_1454_6;terpene	1.2603745257697747	2.491213984008099	1.3502940877206007	1.0092047684664536	2.4273824188165274	1.3593410128866175	2.0161341001675703	0.26363756592046084	0	0	0	0	0	0	0	0
MAG_996_38;NRPS-like	2.2394133822356643	0	1.1368206080668275	1.531862743106512	2.1731568213120895	2.8602315705509476	0.8289454556036661	0	0	0	0	0	0	0	0	0
MAG_1239_13;other	2.1106918503303325	2.4723263353778746	1.9667655932505408	0.5084075391098684	1.622969556452009	1.4737520905988633	2.094000230265427	1.6645491702071293	0	0	0	0.22416241580436533	0	0.0912693835833045	0	0
MAG_604_7;NRPS	2.464654342700089	2.795231617971116	2.4508459589379754	2.926766609418383	2.723127639582762	2.7563562538448476	0.5186587553250118	0.789443058096788	0	0	0	0	0	0	0	0
MAG_1002_6;T3PKS	3.694242095887683	4.203735779254547	2.8513180863312484	2.9784441616567023	3.7226383607686193	3.7135810719462237	1.1241126526402438	0.2361137390366092	0	0	0	0.10452139436847793	0	0	0	0
MAG_1605_92;arylpolyene	3.140588980907627	4.6400000679795985	2.5029501016331865	3.0493668005834977	3.9074898138508614	4.621482394382828	3.186504903214963	1.8131010014565843	3.3271006427221534	2.494883684723759	1.7034113809942784	1.1385077385404216	2.6917259249946333	1.6490449665322857	2.3670498080280202	2.095798057370595
