MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
1.7930704304421698	1.5644873933103858	0	0	2.7665650728384072	2.864119865457465	0	0	3.009572092116697	2.411029892837727	0	0	2.351243374069039	2.5942049008140122	0.45994663997341523	1.2102919988321332	1.438266514797768	0.6842787044023932	0.8581857577778499	1.436085919106898	0	0	1.8952859019537431	1.4843547728405926	1.2572007420149307	0.7696865978054392	0	0.14073569925477944	1.9196071868520568	1.8717573363348123	0	0	0.9205455762985766	1.54190160761682	0.18925607333119768	0.07836178200093996	0.45231468269778974	0.16013034918673302	0.9759893936250141	0.6035027782530606	0.1566723081108812	0.17970630074027175	2.0035560380539845	1.9238600672960517	0	0	1.9654776264417173	1.6507493626063103
0	0	0	0	0	0	0	0	1.090616327930518	1.625255224489027	1.9561982117855117	2.4920657224099783	1.050381984575938	1.8420039379341353	2.5323410527022685	1.9676858212775148	2.587523238042226	2.4995333265377018	2.221155040190183	2.1415960804103173	0	0	1.573875223539776	2.0075928253494317	0.15862674150772216	0	0	0	0.133772298083935	0.17670521157788566	0	0	0.29892075749645275	0.561371933634534	0.7669745338994726	0.7433193600366967	0.6309446533931149	0.3557295288760702	1.920624511594711	1.1603482478849934	0.606776782596444	0.7933311278592043	1.089493426315132	2.298769733815068	0	0	0.6927982493372572	0.6967022165402335
0	0	0	0	0	0	0	0	0	1.7843410575987475	0.42321921598497947	1.0840636163718484	1.8692283397934106	1.7521017679037203	2.8463012759642354	2.3364336167663344	3.2110787851223934	4.098664366921967	1.1496911365349844	1.5717381434999056	0	0	1.5240055422819418	2.0749785849141427	0	0	0	0	0	0	0	0	0	0.7470608797249196	0	0	1.0352926684724317	0.2434882727094067	1.4116546721866687	1.6752948829689702	1.1486955652069328	2.2110875520462328	0.7876235148206774	1.2111961919416339	0	0	0	0
0	0	0	0	0	0	0.9231759019450569	1.12687192356551	1.227013304444101	1.507097295176186	1.7460128043088585	2.0114387652502947	2.4307344596103992	2.713492819453445	2.3009095759274154	2.926766609418383	2.5485240675057876	2.7563562538448476	0.5186587553250118	0.789443058096788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2.073885482554357	2.1842513828371555	0.39134711253305843	0.847623440594983	1.5557433982486533	2.14983041362706	2.5817794789456503	2.5566627158420885	3.247787112835095	3.103036604865654	2.0198272844734446	1.955766310680571	0	0	0.5966583269850749	0	0	0	0	0	0	0	0	0	0.9689277875225278	1.1854210968013363	0.26289291032111334	0.11121871167864074	0.974878713974128	0.629781184218624	0.9237917412841143	0.7864982300217263	1.33893689061005	1.4837290088264434	1.0668373245883338	0.23736005837479782	0	0	0.41943428284576834	0
0	1.67610387397963	0	0	3.2930757045212884	3.415203001696839	0	0	2.9685941617902842	3.0317228613225895	0	0	2.7009794945746055	2.0671189125871265	1.6148530328509016	0	1.4546199639353667	1.707671768892209	0	0	0	0	0	1.175858899330434	0.8263551967110982	0.6355767505675339	0	0	1.6638742805839193	1.1528405545799805	0	0	0	0	0	0.3182664060029047	0	0	0.8680893973435226	0.17432752305375904	0	0.6445072943847838	2.0718636197511393	1.269810916476248	0	0	2.184352276187234	1.9593034387104948
0	0	0	0	1.0608625169310266	0	0	0	1.7954781946633216	1.5389210317241437	0.4998379524283696	0	1.1067788395837392	1.6305542258659884	2.359401505560617	1.0438407344027376	2.776848811520898	2.9262731684263086	2.670845805334081	2.2125168543685234	0	0	1.8410264716214366	0.5664010747579066	0	0	0	0	0	0	0	0	0	0	0	0	1.0253219321326172	0.7351523823701331	1.2434348141985516	0.6786787870619665	0.7229332164219171	0.7309280703489552	0.633821572547389	1.5318915742466903	0	0	0.4474974101519902	0.3971309376219215
0	0	2.665652779507676	3.286513020945395	0	0	1.9627390125182156	2.2299746342379123	0	0	1.4353771503923924	1.7839952046696923	0	0	0	2.7813067148036903	0	0	3.128742851424024	1.274114604647383	0	0	3.204134593791742	0	0	0	1.0640959322968944	2.05442232722071	0	0	0.46688705593934826	0	0	0	0	0	0.6520430389195944	0	0	0	0	0	0	0.7855759897322986	0	0	0.7705402702054319	0.4064224038395482
0	0	0	0	1.753610686455953	0.8173927643279963	0	0	0	1.0474661106419965	0.17959328718237416	0.5484750346266285	1.6282348416674877	1.6103782796627526	2.28516462814933	2.6573621245086523	2.585903267456639	3.3655808567150163	1.8085299615082344	1.3478174566318428	0	0	0.8504522596230293	1.1061125932294136	0	0	0	0	0.24365966259495211	0	0	0	0.7511017329775415	0.3469619927491692	0	0.17670112800670704	0.7016561040442921	0.34484262241980457	0.886205146512244	1.1814579719159894	0.47202770638249225	1.2385481555609221	0.5134731028811943	0.5069438623872542	0	0	0.7276316972263398	0
0	0	2.4846423806776463	2.487421764721403	0	0	0.9569320972651366	0.6225282402786425	0	0	0.8934218773646491	1.1455899636185833	0	0	1.264113778659016	2.4195060498901797	0	0	3.5058280091675282	3.5494756142767034	0.586410113188522	0	2.623824283911968	0.6141155632486477	0	0	0	0.8392110364060743	0	0	0.14926600509598748	0	0	0	0	0	0	0	0	0.13465192651325683	0	0	0.5047247402896604	1.8702725331683554	0	0	0.6638545393337368	1.236031693397592
0.8392921302413168	0.556366607631864	1.8243834620982775	1.4240249463253987	0	1.258561249847458	0.06790110853268239	0	1.5677749706782727	1.1954229941595462	0	2.6968680108062686	1.5196259865539976	0	0.5246826302595028	0	2.929377061565818	0	0.957575177367653	0	1.8156316775428116	1.5249670374818236	0.8484521968994572	1.1949712606553513	0	1.3187341730513067	1.1658662666910344	2.2861892543473394	0.523170422048731	0.7485005292920052	0.7895914548406668	0	1.0241352743225027	0	0	0	0.9892576742321053	0.1866170357369087	0.30397341584071624	0	1.8421432300727265	0.20910655773585443	0	0.5055556908918537	2.156205673676842	2.5421169345672197	0.9553800009212383	1.1665779628282187
