mag_name	MPA103_1	MPA103_2	NPA143_1	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_2	MPA900_1	NPA900_1	NPA900_2	MFL103_1	MFL103_2	NFL143_1	NFL143_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_2	MFL900_1	NFL900_1	NFL900_2
MAG_544	0.03730161516985985	0.0322964175702494	0.022927079343614192	0.03859381477046876	0.047234591083215614	0.03798929372904424	0.027502682107559556	0.10250984535540017	0.027918022918472344	0.18800124677466906	0.2460646835642774	0.22138963810728154	0.17975011179464845	0.33352410944745037	0.28009835109288894	0.22867593143840875	0.13227706127977473	0.26627175872003805	0.4805604778624865	0	0	0	0	0.4540561857945309	0.6297848953855474	0.6909638638576863	0.7412478690003662	0.668655877080535	0.5183373797504858	0.834878790561266	0.9385069147885333	0.761086350431617	0.8456884230803767	1.7492081504270243	1.79261836693646	1.0794335806937843	1.2692323154877234	1.4212229435522208	1.9517314580242366	1.163123121922375	1.0582694154620156	1.818923983500159	1.7021191851428528	0	0	0	0
MAG_728	0	0	0	0	0.001922454100369454	0	0	0.002712654024972607	0.0020270671105573797	0.05366271209905028	0.08055284583862571	0.3958512224509635	0.33697920095022155	0.18608010127471514	0.32290930302676474	0.49800837262134434	0.3474706036653879	0.47745163635208454	0.7168961773532245	0	0	0.0014970036307196725	0.0013331751269876138	0	0	0	0	0	0	0	0	0	0	0.01784534443973821	0.01024198039851246	0.18904479674704044	0.18550520028538253	0.40489027625732193	0.05261829134126056	0.4230850937361546	0.39867293342576704	0.09388023974535295	0.15770683492002252	0	0	0.0025199761912243286	0.002826787468959329
MAG_952	0.0022829972773905217	0.0028158833765004588	0.019159524471448836	0.011244344741097005	0.01086010401275019	0.01566581384279913	0.010948145741561654	0.01851538837522086	0.005522843982247049	0.013042457180503007	0.0148871986996478	0	0	0.008395953136772044	0.010285351460170216	0	0	0	0.0014689318910883174	0	0	0	0	0.03803541096010116	0.059632361218085544	0.4582459844967608	0.47770303758341376	0.19559765477798013	0.1851534099767587	0.7606780638627925	0.6258711772681244	0.28522703882136385	0.3783306561531812	0.27664444635731916	0.257534419521695	0.002480126143026824	0.005729390352731669	0.0026397580708583676	0.10601248707826369	0	0	0.084529353148603	0.0020912088976792927	0	0	0	0
MAG_908	0	0	0	0	0	0	0	0	0	0.05282431128283419	0.05767737754387664	0.16812436862796934	0.1372971507486843	0.1380753992213281	0.20028294757037993	0.12362740843483135	0.057710899636004905	0.37784759115242994	0.4945256785105222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017365018544436974	0.02087567000732488	0.056430382278161405	0.09058543575900668	0.20404177244638544	0.04559015435695403	0.035371439194861624	0.03635467247959997	0.07516008242013278	0.02929833142876345	0	0	0	0
MAG_1316	0.06519187952748677	0.10275239045424298	0.6591088591868877	0.8052019744545758	0.7477167545773168	0.7264842245978343	0.6655629600481234	0.38163936251333963	0.7321545536501612	0.6817137320813506	0.8500694303221572	0.3326058431744558	0.3757276813142045	1.1033420855230625	1.0735620004527708	0.24133502257173511	0.150522362580822	0.684867599227183	0.5807914218063724	0.00621847146651377	0.00421444274718602	0.0067610621220722065	0.00676008306349341	0.5239442984296865	0.18201359271121742	0.18203433221559104	0.15757399644398265	1.4942318435448503	1.7420096497367163	0.3057861992888482	0.3691536480379457	1.010337568541945	1.1373643022553181	0.6675432547247697	0.910584039636209	1.1767080561291101	0.19318997267871793	0.4595288535829259	0.6375247923107998	0.2405660935517687	0.14674208958431798	0.618636057921217	0.4966926318690781	0.002309646711391988	0.004855720882783304	0.0036109490691549613	0.003228079340991992
MAG_672	0.15038977935582287	0.16249519871620213	0.4825332422750615	0.5019985152223965	0.4671829423461667	0.2994976082727083	0.26300440568722	0.10891636711794549	0.18771074234501087	0.1865443864185542	0.2615703494003085	0.21306948184573496	0.2474305870352544	0.37404925761940655	0.39679573075031516	0.15911445133297855	0.10072908009853573	0.28111694407970966	0.2905106881437551	0.008789903362103047	0.005171490362555932	0.014184538090543286	0.014390906392604598	1.2527819683148702	0.4854692304219108	0.5143890472245113	0.47200531204135743	1.1872074885256478	1.3677595223401253	0.40763331584601004	0.5921415242777451	0.5733584999416865	0.5435804201691121	0.4610835256511766	0.5681508830198024	1.1286896619300757	0.217022745341505	0.3087191580788845	0.4432831713411535	0.1946874661366609	0.21301066659909934	0.3177347090477456	0.44292992159716876	0.005099852616846035	0.0062245204156894844	0.005046461168276804	0.007408037010525673
MAG_803	0.0067295804935829815	0.007954841187337447	0.054291069267074984	0.07823522901385896	0.0683724777492141	0.0763616300437067	0.06793891760596706	0.03609351124273408	0.058817649990444865	0.2097482819483588	0.31437356400062966	0.2825260127923563	0.38554566678949237	0.6580838335717178	0.7047944865775274	0.22925202454548776	0.12482331463066625	0.48746853846190524	0.8909041215230367	0.014088814908401104	0.011638864872924436	0.025231203134198105	0.02432270125477945	0.10511076947384418	0.03335554954364243	0.0609139446644253	0.055221758009853475	0.375478160225354	0.4150374797549707	0.1893359483286603	0.3123092926602148	0.44533358577567955	0.39540041524924474	0.7921738094405489	0.8457190289742716	1.6904764441102862	0.6906478598583801	1.0781216487455134	0.9352812648050676	0.900790420330682	0.7366295690917203	0.6693061277895697	1.116476076845537	0.012186940646982324	0.005254571526992512	0.02581712545457109	0.027599887733366083
MAG_1225	0.009628026443434011	0.007493685373124037	0.02362108260955664	0.021588343719845148	0.02791691624918082	0.07107288808512562	0.05682081297029856	0.09060385879254876	0.04917745582900099	0.10460373337033463	0.1501528046777298	0.016815609813661703	0.017290149154866808	0.040722330353947095	0.15326881681463386	0	0	0	0	0	0	0	0	0.029054072945393035	0.056321056632013616	0.14774774471912022	0.1562873555091143	0.17239357877429343	0.13587313859590414	0.36789345051505196	0.32531457795532664	0.32860990937053175	0.3739313028314534	0.4853472921292379	0.4009538007796233	0.005953080203620812	0.01851884379473966	0	0.2043688198720329	0	0	0.20161848435014723	0	0	0	0	0
MAG_1549	0	0	0	0	0	0	0	0	0	0.0024376372467507005	0.0024563172811600947	0.07839821161542483	0.05303479344740418	0.018173988057496548	0.01915044113960321	0.20451482912173738	0.20001161922820823	0.26654282978312754	0.2104326125269522	0.05908698284354707	0.05439006872837366	0.06681653231126772	0.0692831637480756	0	0	0	0	0	0	0	0	0	0	0	0	0.006241116154438762	0.023653280476696056	0.023937971823078993	0.0018337212051414739	0.037183861332143305	0.049166926518916944	0.0027140426520273525	0.011610802991105946	0.04037499286990169	0.007983908116596387	0.0314905856313675	0.023292157288513474
MAG_395	0.021947334589946046	0.018584169591719612	0.15784604355248066	0.15293814500393907	0.1609267191032815	0.1400388083920517	0.18608905086711564	0.32094072326098055	0.17694302673185291	0.2690344538262069	0.3627408470923831	0.09381688357411225	0.09603561116081492	0.16474722899338995	0.2290535170124619	0.01740584554345827	0.01354550600379786	0.030301768891903672	0.05196384271975885	0	0	0	0	0.0755350341305219	0.16216476678956615	0.6892373822500076	0.7261621393282598	0.8645341301763458	0.48452641128488666	0.856300486298557	1.0624312443703463	1.1640203066836865	1.0102743230578544	0.8509895946855366	0.7474407919915083	0.041699297577365825	0.2535716455149051	0.03388971417228505	0.428680793179456	0.011074311821120121	0.013570984211612616	0.44218150859934036	0.010507110476087898	0	0	0	0
MAG_541	0.00862832719325888	0.009553942400654656	0.06993136669585698	0.030412554196460818	0.028389362402570673	0.06581198556244218	0.05793234394543637	0.0949997679952002	0.05107576923066895	0.1364553599126731	0.12052652218660918	0.21921255506260803	0.2396838118938989	0.1926363921643746	0.16168886759169032	0.0021085517415192195	0	0.004074340590372534	0.0027649370362225027	0	0	0	0	0.014546703803329984	0.03722704635043916	0.2623191096018716	0.2652328691609074	0.06363693670744415	0.05897058264753624	0.22970490646692845	0.2813229912850863	0.14622101151689537	0.12381010742589581	0.2835098207017061	0.28815214195179994	0.04132878288133746	0.15896583974370412	0	0.28143775723140124	0	0	0.2865358407791809	0	0	0	0	0
MAG_545	0.35269425248901226	0.31439851620141157	0.16382088658370547	0.09011280134723547	0.09943790809125354	0.10016840494893561	0.11284179536675962	0.1528823701481796	0.07948894883894911	0.30681728590040874	0.4170051581862175	0.22120686113988766	0.21670333758561788	0.26727549231279374	0.3047547562525272	0.04627275052193974	0.03392203453257287	0.09951186761095035	0.12933076984920386	0	0	0	0	0.9815384764533143	1.5604914620526145	0.7457489285486041	0.7664764031383422	0.5322438276681433	0.3345196029007824	0.7499469912205701	0.8460021212797469	0.6293735614768625	0.5652180090068374	1.0736501439238773	0.9623616212123848	0.09332609462662134	0.5314734819891423	0.12096652297911022	0.7492928456318281	0.038777085919115745	0.03710043040316461	0.8417356628644508	0.05662117399690873	0	0	0	0
MAG_1092	0	0	0	0.0013505357159504527	0	0.001418834078719479	0.0015394356606475625	0.0055730879557019785	0.0026797215369537275	0.01231570342967305	0.021708403288194837	0.2467253344790345	0.18257718245226526	0.0852932593704835	0.06663521840581932	0.3201269196484901	0.8197983775768383	0.5716138369065176	0.3231241169588505	0.06908928817204682	0.046247162050102514	0.43324452883623443	0.3381103227965958	0	0	0	0	0	0.004618064307518888	0	0.004217464182067497	0	0.003863341277474978	0.006125500357365368	0.006481540361658495	0.0484628153585606	0.01623530824749315	0.028459522526780433	0.029775712695353403	0.06519049293276413	0.3730264307375034	0.023384941375568	0.02605100662845974	1.7017811497596913	2.516085821369682	0.8053421430889356	1.4181038810223006
