mag_and_cluster	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_1	MPA900_2	NPA900_1	NPA900_2
MAG_236_2;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1113642431034962	0	0	0.05861109110117381	0	0	0	0	0	0	0	0	0	0	0	0	0	1.120319462476541	0	0	0
MAG_24_6;ladderane	0	0	0	0	0	0	0	0.2085000563978774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6032854032490664	0	0	0	0.6286581017030953	0.5067405788947812	0	0	1.932646767906355	1.4293134458408425	0	0	0.2900472984673213	2.3126585928739107	0.5201105274443677	1.2255123130754542	0	0	1.9336524895693432	1.4227349826707454	0	0.8257990218571275	1.2717270382964292	0.9164738181844501	0	0
MAG_754_140;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10365065751847757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_758_9;ladderane	0	0	0	0.7805076220698026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13628143812431112	0	0	0
MAG_933_34;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3126268663624491	0.15842548170660875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5327536528068976	0	0
MAG_1183_30;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07973387570777385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1215_4;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8421837013742071	0.15062994351249046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1215_86;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35279260730442863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_929_30;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5003789632942635	0	0	0	0	0	0	0	0	0
MAG_929_82;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03374295273029165	0.15996461952444024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
