mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_1548_1;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0.10287559553600176	0.4408973870830411	0	0	0	0	0	0	0	0	0	0	0.07873819364686932	0.10638882962837419
MAG_209_12;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28837761802606565	0	0	0.10931301523926412	0.35152221549175755
MAG_573_1;phosphonate	0	0	0	0	0	0	0.05793651180744828	0.1801542202426046	0	0	0	0	0	0	0.47986041356186765	0	0	0	0	0	0	0	0	0
MAG_815_2;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5628869271323713	0.14924305502812618	0	0	0	0	0	0	0	0
MAG_109_5;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44244274801979044	0.1395569146469831	0	0	0.19304245322857874	0	0	0.04087507050982492
MAG_595_28;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3039595187085074	0.18830783403525328	0	0	0.1359036685808634	0.2508601882301824
MAG_567_5;NRPS-like	0	0	0.46893691999865633	0	0	0	0	0	0	0	0	0	0	0	0	0.4114251203495784	0	0	0	0	0	0	0	0
MAG_815_5;ranthipeptide	0	0	0.03313454199836441	0.034522954158511615	0	0	0	0	0	0	0	0	0	0	0.5952154494370058	0.21278995716837104	0	0	0	0	0	0	0	0
MAG_957_7;phosphonate	0	0	0	0	0	0	0.01730764404362946	0	0	0	0	0.17382956324063886	0	0	0	0	0.06608714919761063	0	0	0	0	0	0.3838772021677166	0.32556818811677696
MAG_567_18;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6807944589580762	0.14736597092789416	0	0	0	0	0	0	0	0
MAG_1285_3;arylpolyene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7655522476502064	0	0	0	0	0	0	0	0	0
MAG_907_7;ranthipeptide	0	0	0	0	0	0	0	0.5323583722871132	0	0	0	0	0	0	0.39939078326370364	0	0	0	0	0	0	0	0	0
MAG_216_19;NRPS-like	0	0	0	0	0	0	0.19148273158493667	0	0	0	0.11014069140376882	0	0	0	0	0	0	0	0.11519771300418673	0	0	0	0.1422288043042214	0.48653118118211763
MAG_1050_10;terpene	0	0	0.22675135166647717	0.3997305257778675	0	0	0.0850690715037011	0	0	0	0	0	0	0	0.36555953533988	0	0	0	0	0	0	0	0	0
MAG_914_12;ladderane	0	0	0	0.23088088670075962	0	0	0	0	0	0	0	0	0	0	0.7072352500994922	0	0	0	0	0	0	0	0	0
MAG_1079_2;ranthipeptide	0	0	0.5616764357757995	0.13223983630389197	0	0	0	0	0	0	0	0	0	0	0	0.3842964566509608	0	0	0	0	0	0	0	0
MAG_1512_78;RRE-containing	0	0	0	0	0	0	0.13981190973359275	0.24108419902346098	0	0	0	0	0	0	0	0	0	0	0.01942884569050038	0	0	0	0.5832403483865016	0.23502099741456134
MAG_112_8;NRPS-like	0	0	0.13855784086887044	0	0	0	0.17616503923116084	0	0	0	0	0	0	0	0.8021963611522753	0	0	0	0	0	0	0	0	0
MAG_78_15;RRE-containing	0	0	0	0.22524810777988125	0	0	0.16041989729378098	0.26287411588493964	0	0	0.0670274819626617	0.46207735446711057	0	0	0	0	0	0	0	0.17631453356796137	0	0	0	0.03234846556076124
MAG_1535_11;hserlactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6809305554963161	0.26302960543837645	0	0	0.1173571692360889	0.2016119863980605	0	0	0	0
MAG_957_7;T3PKS	0	0	0	0	0	0	0.17148685714891956	0	0	0	0.030823071715026778	0.10997682960171319	0	0	0	0	0	0.11204721784357445	0	0.3461203202293548	0	0	0.2924670108050003	0.3513315405363804
MAG_196_4;ladderane	0	0	0	0	0	0	0.40582638905256674	0.6821731798797612	0	0	0.15537318093162777	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1194_47;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2475772208281723	0.18766724510271984	0	0	0.18009825278844724	0.700663694262112
MAG_861_7;thiopeptide	0	0	0	0.30096753227149475	0	0	0.0654367663035035	0	0	0	0	0	0	0	0.8162737423827771	0.061911174358842434	0	0	0	0	0	0	0	0
MAG_1396_124;ranthipeptide	0	0	0.10497067004367586	0.10920970113719733	0	0	0.1792018345650171	0.12868765182695008	0	0	0	0	0	0	0.6253726543429146	0.3117522101194483	0	0	0	0	0	0	0	0
MAG_573_22;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0347449315180375	0	0	0	0	0	0	0	0	0
MAG_504_62;arylpolyene	0	0	0	0.14442729145895705	0	0	0.2438034637788351	0.1953775389172909	0	0	0	0	0	0	0.7775575002372015	0	0	0	0	0	0	0	0	0
MAG_975_44;terpene	0	0	0	0	0	0	0.27841568767685265	0.19678968068794053	0	0	0.05925146717048167	0	0	0	0	0	0	0	0.1845684624824306	0.27552670336526014	0	0	0.2014568086638531	0.46155073905915317
MAG_196_1;ladderane	0	0	0	0	0	0	0.8378420009523961	0.43140880818033667	0	0	0.09802658005323865	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1010_21;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7312751114459343	0.5952569142170782	0	0	0	0	0	0.07880942524966343
MAG_595_16;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41043292948718607	0.41972692804609496	0	0	0.27064100621064285	0.5347943940214572
MAG_1396_31;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109116693312952	0	0	0	0	0.06571313673555557	0	0	0	0
MAG_205_16;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4655649467370085	0.4117167078544923	0.7146462434076825
