mag_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	preference	layer	phylum
MAG_1388	549.9294493878499	3.262074039992767	0.4225427444151156	7.7201042571637	1.1623459194069781e-14	3.4625673178123665e-14	particle enriched	Shallow anoxic	Myxococcota
MAG_561	745.2024545077006	-2.172475997692569	0.5293007649866172	-4.104426332630556	4.053193991248793e-5	6.25097492928288e-5	free-living enriched	Shallow anoxic	Omnitrophota
MAG_453	11361.904809184667	8.839949386620487	0.3949688761763893	22.38138222990677	5.976306953146965e-111	1.6912948677405912e-108	particle enriched	Shallow anoxic	Krumholzibacteriota
MAG_1478	3005.4310346675693	-4.201094662922457	0.5419310660501032	-7.752083108175335	9.039719310550993e-15	2.7215325158360967e-14	free-living enriched	Shallow anoxic	Spirochaetota
MAG_21	19234.394846281466	-1.9984722759294724	0.45946868501862015	-4.34952879508749	1.3643036926359968e-5	2.187523767795961e-5	free-living enriched	Shallow anoxic	Proteobacteria
MAG_803	663231.6828237147	-2.9153814875405897	0.6372048556000954	-4.575265649529606	4.756160966767042e-6	7.988092306202213e-6	free-living enriched	Shallow anoxic	Crenarchaeota
MAG_775	11113.669201807648	-2.39070277281617	0.4714739015724023	-5.0707001275001415	3.963548762383226e-7	7.283664284119824e-7	free-living enriched	Shallow anoxic	Chloroflexota
MAG_606	1028.3725827641344	0.7129769612268565	0.41552908065314204	1.7158292750682487	0.08619329434113972	0.09895619593729225	no significant difference	Shallow anoxic	Proteobacteria
MAG_1681	546739.5468957414	-1.8499646354882735	0.7791410146356217	-2.3743643329486903	0.01757919504237076	0.021677177328936488	free-living enriched	Shallow anoxic	Proteobacteria
MAG_748	2789.288454635754	-3.9650584923368393	0.3980644800398422	-9.960844765501252	2.2613298506338214e-23	1.0665939128822858e-22	free-living enriched	Shallow anoxic	UAP2
MAG_38	2321.2514692754403	-3.059389444211443	0.3670181154832918	-8.335799556332034	7.697622865995975e-17	2.689416384045507e-16	free-living enriched	Shallow anoxic	Omnitrophota
MAG_180	5770.743257990199	-0.8062713874316355	0.9951717833539201	-0.8101831270922353	0.4178349334884205	0.4395809895064052	no significant difference	Shallow anoxic	Nanoarchaeota
MAG_925	7702.470375272432	7.86142222822475	0.40720889755451356	19.3056248904098	4.8169134239819395e-83	1.6037488223375165e-81	particle enriched	Shallow anoxic	Planctomycetota
MAG_420	190.76589958564523	2.8277371295526375	0.4675988051463385	6.0473574748927685	1.4724082026002474e-9	3.2810356010698426e-9	particle enriched	Shallow anoxic	Halobacterota
MAG_1549	17306.875702742105	1.0141462559872199	0.38394712789298113	2.641369559274047	0.008257159627305818	0.010455374382673587	particle enriched	Shallow anoxic	Thermoplasmatota
MAG_1684	95065.34296041532	-4.045774990668703	0.48714232155286585	-8.305119082595754	9.971938486315568e-17	3.4206770807603705e-16	free-living enriched	Shallow anoxic	Desulfobacterota
MAG_591	14821.620065496965	-2.070939326908745	0.4842141014559975	-4.27690833596456	1.8950678734015087e-5	3.0129449897338594e-5	free-living enriched	Shallow anoxic	Omnitrophota
MAG_1079	6956.831249001663	-2.7035060196289438	0.34258309635160544	-7.8915336116124	2.9849541217768514e-15	9.386022405142765e-15	free-living enriched	Shallow anoxic	Omnitrophota
MAG_983	535468.5288601008	-2.357112351627097	1.1398280304135067	-2.0679543656879398	0.03864431445799359	0.046340427930560105	free-living enriched	Shallow anoxic	Proteobacteria
MAG_1171	5716.0973664605	-2.4714528884325957	0.46520024413644073	-5.3126646419122086	1.0803374378278675e-7	2.0940787322279897e-7	free-living enriched	Shallow anoxic	Altiarchaeota
MAG_62	1865.0517477774522	-3.625787147803294	0.423808451721705	-8.555249743306623	1.176138195550514e-17	4.322689731698642e-17	free-living enriched	Shallow anoxic	Omnitrophota
MAG_885	24654.176431405856	-4.62782083694935	0.9278485880409562	-4.987689690535017	6.110561181634182e-7	1.1156702028403055e-6	free-living enriched	Shallow anoxic	Patescibacteria
MAG_563	5089.131176931784	4.619667124289379	0.43009516170421846	10.741034858388803	6.530818514922414e-27	3.8504617494230063e-26	particle enriched	Shallow anoxic	FEN-1099
MAG_1508	777.3702064446047	1.775425519309364	0.3828291038279934	4.637645104712492	3.5240119971140257e-6	6.025954049445736e-6	particle enriched	Shallow anoxic	Nanoarchaeota
MAG_1007	1357.260072900572	0.7183782167307021	0.41314565658300906	1.738801328984481	0.08206971476489772	0.09460582190821204	no significant difference	Shallow anoxic	Altiarchaeota
MAG_1413	2834.055458666032	-3.0452843206483986	0.5262895481245734	-5.786328707268145	7.194137385529749e-9	1.566108369311476e-8	free-living enriched	Shallow anoxic	Aenigmarchaeota
MAG_923	1584.221285036096	-2.4156613059248593	0.6620809740479828	-3.648588919804528	2.636846386700379e-4	3.8170206006967123e-4	free-living enriched	Shallow anoxic	Omnitrophota
MAG_1033	73466.79578988404	9.003509672221977	0.5389811642998042	16.70468333326365	1.2116954548209588e-62	2.857581780952761e-61	particle enriched	Shallow anoxic	Thermoplasmatota
MAG_628	1517.6842544213155	-2.1877226625581097	0.5899271571993373	-3.708462368378262	2.0852164210644072e-4	3.0418363255733363e-4	free-living enriched	Shallow anoxic	Nanoarchaeota
MAG_214	892.2251140863589	6.106999002399752	0.456287138806691	13.384113824402624	7.48851868828021e-41	7.706366504666544e-40	particle enriched	Shallow anoxic	Desulfobacterota
MAG_1432	6629.784784539645	8.303548594447452	0.37304539160096917	22.258815633164037	9.266314982588723e-110	1.7482447600484055e-107	particle enriched	Shallow anoxic	Krumholzibacteriota
MAG_32	1696.4477210640914	-4.050917083564649	0.6153228333891894	-6.583401206245274	4.5980615957424955e-11	1.1217684755130399e-10	free-living enriched	Shallow anoxic	Nanoarchaeota
MAG_742	2606.39147388713	-0.6809917328115265	0.4463773723121576	-1.5255964460835167	0.12711039775794278	0.142746994307531	no significant difference	Shallow anoxic	Chloroflexota
MAG_864	28902.846598852244	-5.951569221912616	0.8022679408039487	-7.41843082492936	1.185160489349822e-13	3.4224532498571393e-13	free-living enriched	Shallow anoxic	Planctomycetota
MAG_1554	443.14449068856106	3.857520127192342	0.41302795619464433	9.33961023542542	9.66893920613978e-21	3.9656663700544314e-20	particle enriched	Shallow anoxic	Thermoplasmatota
MAG_1372	536.8157303706719	4.064617488249764	0.49884383299919094	8.148076049797245	3.6975980353076944e-16	1.2457383857048542e-15	particle enriched	Shallow anoxic	Planctomycetota
MAG_330	3541.690534811208	-1.439657252628961	0.5620524026807434	-2.561428873468786	0.010424258385474177	0.013111400547063078	free-living enriched	Shallow anoxic	Chloroflexota
MAG_1371	9274.567243081545	-4.599512780618235	0.43534905170583504	-10.565114963719093	4.32438489058086e-26	2.4723250990593604e-25	free-living enriched	Shallow anoxic	Nanoarchaeota
MAG_1605	39993.37938953097	2.2899128884119113	0.5366376611036333	4.267149054918255	1.9798688208402107e-5	3.138951687942743e-5	particle enriched	Shallow anoxic	Myxococcota
MAG_718	1752.4781032250128	-5.2771609001227775	0.5769577691817543	-9.146528883053062	5.879226638100143e-20	2.327022571443833e-19	free-living enriched	Shallow anoxic	Iainarchaeota
MAG_751	9842.221221619697	7.565238498379924	0.3434874567759778	22.024788239396948	1.6668666313548967e-107	2.358616283367179e-105	particle enriched	Shallow anoxic	Planctomycetota
MAG_1593	13867.371192790983	2.333366301468126	0.49000244872000615	4.761948246510585	1.9173285970726345e-6	3.3702111364692894e-6	particle enriched	Shallow anoxic	Fermentibacterota
MAG_13	6785.507722561275	-2.5522097323437043	0.663151597378104	-3.8486067777478796	1.1879151564620535e-4	1.7693683646250586e-4	free-living enriched	Shallow anoxic	Nanoarchaeota
MAG_1414	4194.206617466204	-1.534651369157801	0.4357422020989744	-3.5219250321987876	4.2842527922057376e-4	6.108027910298356e-4	free-living enriched	Shallow anoxic	Omnitrophota
MAG_979	9590.523438690865	-1.0805874862114944	0.9156690278759154	-1.1801070619568095	0.23795763625068891	0.26051068107909076	no significant difference	Shallow anoxic	Firmicutes
MAG_688	3340.7939199382977	2.3658044103980527	0.8187871685581607	2.889400935000123	0.0038597660167537127	0.005128233721790144	particle enriched	Shallow anoxic	Desulfobacterota
MAG_86	457.9716074306539	1.2558115925760858	0.44924525293080314	2.7953808846801933	0.005183860091332204	0.00674497657860696	particle enriched	Shallow anoxic	AABM5-125-24
MAG_198	7391.111842743648	5.17732318729679	0.7089988220935822	7.302301535577762	2.8288640319670356e-13	8.005685210466711e-13	particle enriched	Shallow anoxic	Planctomycetota
MAG_522	9850.142759729624	-0.2248492661760422	0.41121530243822385	-0.5467920693681406	0.5845215921802572	0.6037212065219445	no significant difference	Shallow anoxic	Omnitrophota
MAG_504	5342.020894778669	0.40787154069942877	0.47439374934198175	0.8597742724586399	0.3899134838393668	0.413279085867194	no significant difference	Shallow anoxic	Desulfobacterota
MAG_732	5074.036861670775	0.31068720765895314	0.5419366232745302	0.5732906659485302	0.5664479043022755	0.5861234256582961	no significant difference	Shallow anoxic	Thermoplasmatota
MAG_975	27535.142241937996	-3.8492135929391424	0.6389414411501811	-6.024360520441492	1.6977954400462872e-9	3.768440074769406e-9	free-living enriched	Shallow anoxic	Desulfobacterota
MAG_692	15751.667549285587	-3.930820579660361	0.6089818149690834	-6.454742133572444	1.0840332650892706e-10	2.577995075800534e-10	free-living enriched	Shallow anoxic	Patescibacteria
MAG_895	18271.135242934415	-3.6025320343555456	0.37219532116913173	-9.679143797507587	3.6979988667557476e-22	1.597761342430346e-21	free-living enriched	Shallow anoxic	Omnitrophota
MAG_1322	15405.486600818305	-5.44162194097283	0.8168000876065858	-6.662122131889147	2.699015828502557e-11	6.700188416370383e-11	free-living enriched	Shallow anoxic	Latescibacterota
MAG_1003	12525.72989327276	7.190177702526554	0.44631100364997467	16.110240714937753	2.1618069208099894e-58	3.5987726975836884e-57	particle enriched	Shallow anoxic	Myxococcota
MAG_1433	29656.67601672115	-1.2394736953279262	0.4574797665412744	-2.7093519451118704	0.006741478580157289	0.008711591041938414	free-living enriched	Shallow anoxic	Acidobacteriota
MAG_854	7703.600479307675	-2.515916092497658	0.6565273910060027	-3.8321570843259067	1.2702458656037503e-4	1.8820920417060805e-4	free-living enriched	Shallow anoxic	Chloroflexota
MAG_1067	712.3723851787317	-3.0230984274813686	0.4133669309208947	-7.3133533462547184	2.6055665541044423e-13	7.410807385040776e-13	free-living enriched	Shallow anoxic	Patescibacteria
MAG_1254	5679.067829479011	7.848380111959492	0.4051425446581806	19.371898151504137	1.3325330515533313e-83	4.713835669869909e-82	particle enriched	Shallow anoxic	Gemmatimonadota_A
MAG_109	763542.5147452535	-5.635646254317896	0.635776821971127	-8.86418953878415	7.706256397073453e-19	2.9471223788807935e-18	free-living enriched	Shallow anoxic	Latescibacterota
MAG_1131	1318.1732250568696	-2.5740437430925227	0.4565233897878933	-5.638361145720172	1.7167616976511372e-8	3.625698212203521e-8	free-living enriched	Shallow anoxic	Omnitrophota
MAG_956	687.4145445005298	-0.3142671676309293	0.5221473752778426	-0.6018744563519121	0.5472577085088886	0.5673037784176391	no significant difference	Shallow anoxic	Aerophobota
MAG_1507	2365905.425010228	-1.1692330179396428	1.3739301894003955	-0.8510134117148371	0.39476190265948097	0.41763595683227334	no significant difference	Shallow anoxic	Proteobacteria
MAG_862	3692.2514800859203	6.578722643615811	0.5488164025665185	11.987110102487227	4.151369293502715e-33	3.051526000159139e-32	particle enriched	Shallow anoxic	Planctomycetota
MAG_907	3020.2728887983635	-1.5227109442282616	0.44214507491299393	-3.4439170096554923	5.733516633293254e-4	8.092694300359057e-4	free-living enriched	Shallow anoxic	Omnitrophota
MAG_1569	60137.48097225897	-4.667544858766666	0.9728539854170158	-4.797785617094341	1.604293522843882e-6	2.828754311307281e-6	free-living enriched	Shallow anoxic	Marinisomatota
MAG_1015	1279.3895459038663	2.9643718322822	0.5773052666522748	5.134842869998819	2.823798475908554e-7	5.274818275129509e-7	particle enriched	Shallow anoxic	Crenarchaeota
MAG_1428	17989.195186549063	4.788554858598694	0.5627171016740953	8.50970202318828	1.743809115586257e-17	6.207521757369947e-17	particle enriched	Shallow anoxic	Desulfobacterota
MAG_1226	5882.46899446224	7.7167640132878494	0.2870093730418081	26.88680140130393	3.1335907748588213e-159	1.773612378570093e-156	particle enriched	Shallow anoxic	Chloroflexota
