mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_245_4;lassopeptide	0	0	0.24882116357886994	0.09150886121913551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1424_196;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33384325465377584	0	0	0	0	0	0	0	0	0
MAG_1226_120;RiPP-like	0	0	0	0	0	0	0	0	0	0	0	0.3426700652791199	0	0	0	0	0	0	0	0	0	0	0	0
MAG_265_6;terpene	0	0	0.07923833801572289	0	0	0	0.16067010987807534	0.11505445684156397	0	0	0	0	0	0	0	0	0	0	0.029895122020406534	0	0	0	0	0
MAG_245_40;RRE-containing	0	0	0.2396943603216156	0.14006426282803483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1215_86;ladderane	0	0	0	0	0	0	0.35279260730442863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1528_43;terpene	0	0	0	0	0	0	0.029118673493761286	0	0	0	0	0.34688818136774047	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1463_1;ranthipeptide	0	0	0.10067687946084546	0	0	0	0.29956125838513553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_245_7;betalactone	0	0	0.20145335336251244	0.20902343753289532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1521_11;RRE-containing	0	0	0.2077830343514579	0.21574929871763582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1019_32;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4089470806276842	0	0	0	0	0	0	0	0	0
