Genome	D2b900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_544	12441
CarAnox_mtb2_1527	3119
CarAnox_mtb2_1400	342652
CarAnox_mtb2_1179	16106
CarAnox_mtb2_1083	12061
CarAnox_mtb2_78	2764
CarAnox_mtb2_20	3711
CarAnox_mtb2_379	43470
CarAnox_mtb2_955	51286
CarAnox_mtb2_490	12
CarAnox_mtb2_841	17409
CarAnox_mtb2_1250	206
CarAnox_mtb2_893	142
CarAnox_mtb2_601	17638
CarAnox_mtb2_552	144672
CarAnox_mtb2_832	4208
CarAnox_mtb2_880	117488
CarAnox_mtb2_1521	473
CarAnox_mtb2_94	122
CarAnox_mtb2_226	92163
CarAnox_mtb2_1117	381
CarAnox_mtb2_1388	182
CarAnox_mtb2_561	12452
CarAnox_mtb2_453	344
CarAnox_mtb2_1478	27668
CarAnox_mtb2_21	423
CarAnox_mtb2_803	15217
CarAnox_mtb2_775	96343
CarAnox_mtb2_606	1990
CarAnox_mtb2_1681	940
CarAnox_mtb2_748	68651
CarAnox_mtb2_38	52543
CarAnox_mtb2_180	603
CarAnox_mtb2_925	121
CarAnox_mtb2_420	303
CarAnox_mtb2_1549	28746
CarAnox_mtb2_1684	2342726
CarAnox_mtb2_591	289913
CarAnox_mtb2_1079	144105
CarAnox_mtb2_983	26204
CarAnox_mtb2_1171	148871
CarAnox_mtb2_62	45024
CarAnox_mtb2_885	292
CarAnox_mtb2_563	329
CarAnox_mtb2_1508	3633
CarAnox_mtb2_1007	1632
CarAnox_mtb2_1413	51582
CarAnox_mtb2_923	1340
CarAnox_mtb2_1033	1596
CarAnox_mtb2_628	54
CarAnox_mtb2_214	659
CarAnox_mtb2_1432	155
CarAnox_mtb2_32	10931
CarAnox_mtb2_742	66459
CarAnox_mtb2_864	5049
CarAnox_mtb2_1554	811
CarAnox_mtb2_1372	415
CarAnox_mtb2_330	54279
CarAnox_mtb2_1371	246909
CarAnox_mtb2_1605	5116
CarAnox_mtb2_718	26241
CarAnox_mtb2_751	137
CarAnox_mtb2_1593	61751
CarAnox_mtb2_13	104
CarAnox_mtb2_1414	85158
CarAnox_mtb2_979	442
CarAnox_mtb2_688	113
CarAnox_mtb2_86	4353
CarAnox_mtb2_198	118
CarAnox_mtb2_522	231836
CarAnox_mtb2_504	69519
CarAnox_mtb2_732	52341
CarAnox_mtb2_975	119574
CarAnox_mtb2_692	221368
CarAnox_mtb2_895	370863
CarAnox_mtb2_1322	5126
CarAnox_mtb2_1003	230
CarAnox_mtb2_1433	863960
CarAnox_mtb2_854	134504
CarAnox_mtb2_1067	15066
CarAnox_mtb2_1254	68
CarAnox_mtb2_109	339
CarAnox_mtb2_1131	19882
CarAnox_mtb2_956	6234
CarAnox_mtb2_1507	51943
CarAnox_mtb2_862	469
CarAnox_mtb2_907	60004
CarAnox_mtb2_1569	271
CarAnox_mtb2_1015	17445
CarAnox_mtb2_1428	182
CarAnox_mtb2_1226	169
