Genome	D2a900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1428	224
CarAnox_mtb2_1226	252
CarAnox_mtb2_481	381
CarAnox_mtb2_151	348
CarAnox_mtb2_334	1428001
CarAnox_mtb2_1465	160
CarAnox_mtb2_937	2587
CarAnox_mtb2_76	189
CarAnox_mtb2_524	38
CarAnox_mtb2_1334	17
CarAnox_mtb2_1183	135
CarAnox_mtb2_459	98839
CarAnox_mtb2_743	1227
CarAnox_mtb2_1429	160
CarAnox_mtb2_14	77220
CarAnox_mtb2_1320	2410
CarAnox_mtb2_336	1115413
CarAnox_mtb2_1562	267738
CarAnox_mtb2_213	15373
CarAnox_mtb2_83	575
CarAnox_mtb2_164	32303
CarAnox_mtb2_313	28426
CarAnox_mtb2_400	122
CarAnox_mtb2_421	393143
CarAnox_mtb2_1600	337
CarAnox_mtb2_888	26
CarAnox_mtb2_1536	158371
CarAnox_mtb2_1101	55428
CarAnox_mtb2_707	358
CarAnox_mtb2_153	484
CarAnox_mtb2_786	80
CarAnox_mtb2_206	472
CarAnox_mtb2_557	25825
CarAnox_mtb2_349	30239
CarAnox_mtb2_1053	235
CarAnox_mtb2_301	142022
CarAnox_mtb2_809	7051
CarAnox_mtb2_1556	23564
CarAnox_mtb2_128	40
CarAnox_mtb2_1446	65314
CarAnox_mtb2_1552	132442
CarAnox_mtb2_1559	572
CarAnox_mtb2_1679	222
CarAnox_mtb2_1425	408940
CarAnox_mtb2_516	21042
CarAnox_mtb2_941	4956
CarAnox_mtb2_828	18690
CarAnox_mtb2_739	264
CarAnox_mtb2_1274	321723
CarAnox_mtb2_30	59723
CarAnox_mtb2_750	880
CarAnox_mtb2_608	26392
CarAnox_mtb2_572	126
CarAnox_mtb2_1146	34366
CarAnox_mtb2_1398	763836
CarAnox_mtb2_596	682
CarAnox_mtb2_243	105
CarAnox_mtb2_1149	628
CarAnox_mtb2_361	17091
CarAnox_mtb2_938	5627
CarAnox_mtb2_908	923
CarAnox_mtb2_121	3839
CarAnox_mtb2_713	12
CarAnox_mtb2_1080	21105
CarAnox_mtb2_781	296
CarAnox_mtb2_798	16
CarAnox_mtb2_1422	82635
CarAnox_mtb2_996	192294
CarAnox_mtb2_535	3368
CarAnox_mtb2_1253	47915
CarAnox_mtb2_715	4252
CarAnox_mtb2_621	501
CarAnox_mtb2_1042	89
CarAnox_mtb2_614	123
CarAnox_mtb2_1447	298
CarAnox_mtb2_116	30386
CarAnox_mtb2_244	4681
CarAnox_mtb2_704	431
CarAnox_mtb2_492	4004
CarAnox_mtb2_1352	12527
CarAnox_mtb2_768	48444
CarAnox_mtb2_853	1002
CarAnox_mtb2_31	118224
CarAnox_mtb2_464	949
CarAnox_mtb2_942	60031
CarAnox_mtb2_1019	70855
CarAnox_mtb2_1375	61
CarAnox_mtb2_310	797
CarAnox_mtb2_1268	2231
CarAnox_mtb2_636	77771
CarAnox_mtb2_512	9044
CarAnox_mtb2_595	69
CarAnox_mtb2_1284	310
CarAnox_mtb2_59	4096
CarAnox_mtb2_1105	38518
CarAnox_mtb2_719	47888
CarAnox_mtb2_1356	224
CarAnox_mtb2_1570	157551
CarAnox_mtb2_1503	41129
CarAnox_mtb2_1244	143
CarAnox_mtb2_1109	85131
CarAnox_mtb2_216	72
CarAnox_mtb2_660	68167
CarAnox_mtb2_820	119
CarAnox_mtb2_762	29263
CarAnox_mtb2_1264	511025
CarAnox_mtb2_997	19
CarAnox_mtb2_42	163
CarAnox_mtb2_1263	242582
CarAnox_mtb2_292	73853
CarAnox_mtb2_1649	46669
CarAnox_mtb2_1604	129832
CarAnox_mtb2_1464	278
CarAnox_mtb2_1392	107
CarAnox_mtb2_1225	51
CarAnox_mtb2_479	50799
CarAnox_mtb2_740	512
CarAnox_mtb2_1220	2046
CarAnox_mtb2_616	1845310
CarAnox_mtb2_1419	26
CarAnox_mtb2_423	73645
CarAnox_mtb2_358	97535
CarAnox_mtb2_343	590
CarAnox_mtb2_920	87
CarAnox_mtb2_463	17818
CarAnox_mtb2_1423	65077
CarAnox_mtb2_633	7450
CarAnox_mtb2_868	15913
CarAnox_mtb2_1650	378566
CarAnox_mtb2_1415	27768
CarAnox_mtb2_877	199
CarAnox_mtb2_147	62705
CarAnox_mtb2_1518	1964
CarAnox_mtb2_1270	2493
CarAnox_mtb2_1438	222
CarAnox_mtb2_959	3823
CarAnox_mtb2_1246	19
CarAnox_mtb2_971	5179
CarAnox_mtb2_1057	105
CarAnox_mtb2_645	69089
CarAnox_mtb2_501	16053
CarAnox_mtb2_43	25056
CarAnox_mtb2_1579	88
CarAnox_mtb2_99	596
CarAnox_mtb2_1538	2289
CarAnox_mtb2_603	157
CarAnox_mtb2_568	351
CarAnox_mtb2_1594	7217
CarAnox_mtb2_154	424
CarAnox_mtb2_944	403
CarAnox_mtb2_785	214813
CarAnox_mtb2_741	30641
CarAnox_mtb2_954	24860
CarAnox_mtb2_1214	42210
CarAnox_mtb2_218	48
CarAnox_mtb2_428	377310
