Genome	D2b247A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_490	1523
CarAnox_mtb2_841	23805
CarAnox_mtb2_1250	7821
CarAnox_mtb2_893	2347
CarAnox_mtb2_601	602
CarAnox_mtb2_552	523
CarAnox_mtb2_832	59041
CarAnox_mtb2_880	4165
CarAnox_mtb2_1521	19347
CarAnox_mtb2_94	14850
CarAnox_mtb2_226	121
CarAnox_mtb2_1117	129527
CarAnox_mtb2_1388	156
CarAnox_mtb2_561	171
CarAnox_mtb2_453	68653
CarAnox_mtb2_1478	134
CarAnox_mtb2_21	28427
CarAnox_mtb2_803	1384994
CarAnox_mtb2_775	835
CarAnox_mtb2_606	511
CarAnox_mtb2_1681	60310
CarAnox_mtb2_748	28
CarAnox_mtb2_38	309
CarAnox_mtb2_180	38944
CarAnox_mtb2_925	31067
CarAnox_mtb2_420	69
CarAnox_mtb2_1549	81091
CarAnox_mtb2_1684	2541
CarAnox_mtb2_591	3178
CarAnox_mtb2_1079	917
CarAnox_mtb2_983	17534
CarAnox_mtb2_1171	267
CarAnox_mtb2_62	81
CarAnox_mtb2_885	25034
CarAnox_mtb2_563	9654
CarAnox_mtb2_1508	1110
CarAnox_mtb2_1007	3848
CarAnox_mtb2_1413	421
CarAnox_mtb2_923	2944
CarAnox_mtb2_1033	173758
CarAnox_mtb2_628	4420
CarAnox_mtb2_214	5198
CarAnox_mtb2_1432	42364
CarAnox_mtb2_32	470
CarAnox_mtb2_742	85
CarAnox_mtb2_864	19050
CarAnox_mtb2_1554	1022
CarAnox_mtb2_1372	462
CarAnox_mtb2_330	20
CarAnox_mtb2_1371	139
CarAnox_mtb2_1605	94203
CarAnox_mtb2_718	19
CarAnox_mtb2_751	79586
CarAnox_mtb2_1593	36289
CarAnox_mtb2_13	5208
CarAnox_mtb2_1414	304
CarAnox_mtb2_979	67240
CarAnox_mtb2_688	8000
CarAnox_mtb2_86	42
CarAnox_mtb2_198	59596
CarAnox_mtb2_522	657
CarAnox_mtb2_504	1676
CarAnox_mtb2_732	1672
CarAnox_mtb2_975	27477
CarAnox_mtb2_692	1158
CarAnox_mtb2_895	604
CarAnox_mtb2_1322	7681
CarAnox_mtb2_1003	47073
CarAnox_mtb2_1433	3106
CarAnox_mtb2_854	31
CarAnox_mtb2_1067	69
CarAnox_mtb2_1254	28362
CarAnox_mtb2_109	42261
CarAnox_mtb2_1131	385
CarAnox_mtb2_956	74
CarAnox_mtb2_1507	69042
CarAnox_mtb2_862	6248
CarAnox_mtb2_907	576
CarAnox_mtb2_1569	65630
CarAnox_mtb2_1015	242
CarAnox_mtb2_1428	217854
CarAnox_mtb2_1226	98249
CarAnox_mtb2_481	988
CarAnox_mtb2_151	27730
CarAnox_mtb2_334	2723
CarAnox_mtb2_1465	13390
CarAnox_mtb2_937	445
CarAnox_mtb2_76	22950
CarAnox_mtb2_524	7536
CarAnox_mtb2_1334	631703
CarAnox_mtb2_1183	32035
CarAnox_mtb2_459	75
CarAnox_mtb2_743	276210
CarAnox_mtb2_1429	70587
CarAnox_mtb2_14	8567
