Genome	D3a103A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1419	203
CarAnox_mtb2_423	114
CarAnox_mtb2_358	20
CarAnox_mtb2_343	207
CarAnox_mtb2_920	300
CarAnox_mtb2_463	32
CarAnox_mtb2_1423	74
CarAnox_mtb2_633	588
CarAnox_mtb2_868	6
CarAnox_mtb2_1650	320
CarAnox_mtb2_1415	34
CarAnox_mtb2_877	992
CarAnox_mtb2_147	343
CarAnox_mtb2_1518	2516
CarAnox_mtb2_1270	3669
CarAnox_mtb2_1438	19
CarAnox_mtb2_959	22
CarAnox_mtb2_1246	2349
CarAnox_mtb2_971	137
CarAnox_mtb2_1057	148
CarAnox_mtb2_645	4559
CarAnox_mtb2_501	99632
CarAnox_mtb2_43	2015
CarAnox_mtb2_1579	136
CarAnox_mtb2_99	18
CarAnox_mtb2_1538	176
CarAnox_mtb2_603	226304
CarAnox_mtb2_568	143
CarAnox_mtb2_1594	46
CarAnox_mtb2_154	586
CarAnox_mtb2_944	413
CarAnox_mtb2_785	38
CarAnox_mtb2_741	93382
CarAnox_mtb2_954	883
CarAnox_mtb2_1214	4
CarAnox_mtb2_218	16566
CarAnox_mtb2_428	27
CarAnox_mtb2_382	859
CarAnox_mtb2_187	336
CarAnox_mtb2_275	1
CarAnox_mtb2_1312	9
CarAnox_mtb2_1002	14352
CarAnox_mtb2_281	26542
CarAnox_mtb2_1394	70
CarAnox_mtb2_1283	114
CarAnox_mtb2_1221	15
CarAnox_mtb2_929	1933
CarAnox_mtb2_773	173
CarAnox_mtb2_1620	113
CarAnox_mtb2_804	21
CarAnox_mtb2_1528	994
CarAnox_mtb2_47	368
CarAnox_mtb2_418	2792
CarAnox_mtb2_1510	58
CarAnox_mtb2_205	110
CarAnox_mtb2_919	65
CarAnox_mtb2_406	301
CarAnox_mtb2_1509	54
CarAnox_mtb2_824	340
CarAnox_mtb2_106	13
CarAnox_mtb2_1396	212
CarAnox_mtb2_1551	307
CarAnox_mtb2_1199	1931
CarAnox_mtb2_451	26
CarAnox_mtb2_1564	34
CarAnox_mtb2_200	52
CarAnox_mtb2_110	1167
CarAnox_mtb2_1578	325
CarAnox_mtb2_769	197
CarAnox_mtb2_541	11286
CarAnox_mtb2_946	407
CarAnox_mtb2_699	401
CarAnox_mtb2_499	9
CarAnox_mtb2_1023	13
CarAnox_mtb2_209	174
CarAnox_mtb2_654	101
CarAnox_mtb2_1261	141
CarAnox_mtb2_728	102
CarAnox_mtb2_1162	190
CarAnox_mtb2_1302	1397
CarAnox_mtb2_259	77
CarAnox_mtb2_1353	18
CarAnox_mtb2_1424	565
CarAnox_mtb2_49	73
