Genome	D2b143B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1226	29
CarAnox_mtb2_481	64
CarAnox_mtb2_151	71
CarAnox_mtb2_334	334
CarAnox_mtb2_1465	47
CarAnox_mtb2_937	330
CarAnox_mtb2_76	72
CarAnox_mtb2_524	126
CarAnox_mtb2_1334	753
CarAnox_mtb2_1183	400
CarAnox_mtb2_459	87
CarAnox_mtb2_743	6867
CarAnox_mtb2_1429	277
CarAnox_mtb2_14	217
CarAnox_mtb2_1320	903
CarAnox_mtb2_336	663
CarAnox_mtb2_1562	128
CarAnox_mtb2_213	2372
CarAnox_mtb2_83	130
CarAnox_mtb2_164	190
CarAnox_mtb2_313	120
CarAnox_mtb2_400	121
CarAnox_mtb2_421	99
CarAnox_mtb2_1600	43
CarAnox_mtb2_888	138
CarAnox_mtb2_1536	480
CarAnox_mtb2_1101	17
CarAnox_mtb2_707	169
CarAnox_mtb2_153	86
CarAnox_mtb2_786	18068
CarAnox_mtb2_206	335
CarAnox_mtb2_557	8
CarAnox_mtb2_349	251
CarAnox_mtb2_1053	119
CarAnox_mtb2_301	75
CarAnox_mtb2_809	22
CarAnox_mtb2_1556	193
CarAnox_mtb2_128	31
CarAnox_mtb2_1446	27
CarAnox_mtb2_1552	29
CarAnox_mtb2_1559	177
CarAnox_mtb2_1679	1612785
CarAnox_mtb2_1425	81
CarAnox_mtb2_516	12
CarAnox_mtb2_941	49
CarAnox_mtb2_828	273
CarAnox_mtb2_739	288
CarAnox_mtb2_1274	78
CarAnox_mtb2_30	7
CarAnox_mtb2_750	58
CarAnox_mtb2_608	64
CarAnox_mtb2_572	13
CarAnox_mtb2_1146	547
CarAnox_mtb2_1398	153
CarAnox_mtb2_596	71
CarAnox_mtb2_243	498
CarAnox_mtb2_1149	69
CarAnox_mtb2_361	47
CarAnox_mtb2_938	48
CarAnox_mtb2_908	1674
CarAnox_mtb2_121	225
CarAnox_mtb2_713	186
CarAnox_mtb2_1080	6
CarAnox_mtb2_781	4875
CarAnox_mtb2_798	1586
CarAnox_mtb2_1422	53
CarAnox_mtb2_996	340
CarAnox_mtb2_535	64
CarAnox_mtb2_1253	54
CarAnox_mtb2_715	222
CarAnox_mtb2_621	79
CarAnox_mtb2_1042	47
CarAnox_mtb2_614	28
CarAnox_mtb2_1447	22984
CarAnox_mtb2_116	43
CarAnox_mtb2_244	82
CarAnox_mtb2_704	122
CarAnox_mtb2_492	18100
CarAnox_mtb2_1352	126
CarAnox_mtb2_768	38
CarAnox_mtb2_853	54
CarAnox_mtb2_31	23
CarAnox_mtb2_464	140
CarAnox_mtb2_942	85
CarAnox_mtb2_1019	24
CarAnox_mtb2_1375	653
CarAnox_mtb2_310	86
CarAnox_mtb2_1268	113
CarAnox_mtb2_636	100
CarAnox_mtb2_512	17
CarAnox_mtb2_595	845
CarAnox_mtb2_1284	30
CarAnox_mtb2_59	79074
CarAnox_mtb2_1105	14
CarAnox_mtb2_719	24
CarAnox_mtb2_1356	18
CarAnox_mtb2_1570	94
CarAnox_mtb2_1503	18
CarAnox_mtb2_1244	161
CarAnox_mtb2_1109	348
CarAnox_mtb2_216	405
CarAnox_mtb2_660	38
CarAnox_mtb2_820	348
CarAnox_mtb2_762	6
CarAnox_mtb2_1264	168
CarAnox_mtb2_997	2132
CarAnox_mtb2_42	101
CarAnox_mtb2_1263	70
CarAnox_mtb2_292	157
CarAnox_mtb2_1649	32
CarAnox_mtb2_1604	70
CarAnox_mtb2_1464	9
CarAnox_mtb2_1392	30
CarAnox_mtb2_1225	163564
CarAnox_mtb2_479	33
CarAnox_mtb2_740	46
CarAnox_mtb2_1220	438841
CarAnox_mtb2_616	673
CarAnox_mtb2_1419	3282
CarAnox_mtb2_423	477
CarAnox_mtb2_358	110
CarAnox_mtb2_343	234
CarAnox_mtb2_920	46
CarAnox_mtb2_463	35
CarAnox_mtb2_1423	77
CarAnox_mtb2_633	136
CarAnox_mtb2_868	72
CarAnox_mtb2_1650	86
CarAnox_mtb2_1415	53
CarAnox_mtb2_877	70
CarAnox_mtb2_147	44
CarAnox_mtb2_1518	543
