Genome	D3a900BM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_925	132
CarAnox_mtb2_420	1292
CarAnox_mtb2_1549	8062
CarAnox_mtb2_1684	1153260
CarAnox_mtb2_591	30328
CarAnox_mtb2_1079	20377
CarAnox_mtb2_983	13100
CarAnox_mtb2_1171	42143
CarAnox_mtb2_62	4198
CarAnox_mtb2_885	60
CarAnox_mtb2_563	866
CarAnox_mtb2_1508	1428
CarAnox_mtb2_1007	2639
CarAnox_mtb2_1413	33404
CarAnox_mtb2_923	92
CarAnox_mtb2_1033	364
CarAnox_mtb2_628	16
CarAnox_mtb2_214	1389
CarAnox_mtb2_1432	81
CarAnox_mtb2_32	2208
CarAnox_mtb2_742	20067
CarAnox_mtb2_864	770
CarAnox_mtb2_1554	570
CarAnox_mtb2_1372	746
CarAnox_mtb2_330	120306
CarAnox_mtb2_1371	31231
CarAnox_mtb2_1605	8304
CarAnox_mtb2_718	16828
CarAnox_mtb2_751	399
CarAnox_mtb2_1593	46350
CarAnox_mtb2_13	25
CarAnox_mtb2_1414	12827
CarAnox_mtb2_979	142
CarAnox_mtb2_688	59
CarAnox_mtb2_86	589
CarAnox_mtb2_198	129
CarAnox_mtb2_522	46657
CarAnox_mtb2_504	110113
CarAnox_mtb2_732	5452
CarAnox_mtb2_975	28935
CarAnox_mtb2_692	36878
CarAnox_mtb2_895	196760
CarAnox_mtb2_1322	698
CarAnox_mtb2_1003	308
CarAnox_mtb2_1433	672493
CarAnox_mtb2_854	162470
CarAnox_mtb2_1067	2342
CarAnox_mtb2_1254	54
CarAnox_mtb2_109	123
CarAnox_mtb2_1131	1526
CarAnox_mtb2_956	26014
CarAnox_mtb2_1507	195
CarAnox_mtb2_862	539
CarAnox_mtb2_907	16662
CarAnox_mtb2_1569	127
CarAnox_mtb2_1015	6324
CarAnox_mtb2_1428	484
CarAnox_mtb2_1226	237
CarAnox_mtb2_481	667
CarAnox_mtb2_151	365
CarAnox_mtb2_334	181046
CarAnox_mtb2_1465	17
CarAnox_mtb2_937	66038
CarAnox_mtb2_76	71
CarAnox_mtb2_524	32
CarAnox_mtb2_1334	1
CarAnox_mtb2_1183	85
CarAnox_mtb2_459	8891
CarAnox_mtb2_743	237
CarAnox_mtb2_1429	31
CarAnox_mtb2_14	4589
CarAnox_mtb2_1320	202
CarAnox_mtb2_336	340167
CarAnox_mtb2_1562	20458
CarAnox_mtb2_213	2703
CarAnox_mtb2_83	527
CarAnox_mtb2_164	257
CarAnox_mtb2_313	6239
CarAnox_mtb2_400	300
CarAnox_mtb2_421	79985
CarAnox_mtb2_1600	5
CarAnox_mtb2_888	69
CarAnox_mtb2_1536	18320
CarAnox_mtb2_1101	194138
CarAnox_mtb2_707	63
CarAnox_mtb2_153	462
CarAnox_mtb2_786	15
CarAnox_mtb2_206	136
CarAnox_mtb2_557	60107
CarAnox_mtb2_349	48924
CarAnox_mtb2_1053	197
CarAnox_mtb2_301	21018
CarAnox_mtb2_809	329
CarAnox_mtb2_1556	8995
CarAnox_mtb2_128	49
CarAnox_mtb2_1446	10404
CarAnox_mtb2_1552	5250
CarAnox_mtb2_1559	109
CarAnox_mtb2_1679	155
CarAnox_mtb2_1425	872466
CarAnox_mtb2_516	66458
CarAnox_mtb2_941	6424
CarAnox_mtb2_828	20963
CarAnox_mtb2_739	240
CarAnox_mtb2_1274	99783
CarAnox_mtb2_30	1953
CarAnox_mtb2_750	313
CarAnox_mtb2_608	28147
CarAnox_mtb2_572	10
CarAnox_mtb2_1146	3422
CarAnox_mtb2_1398	140636
CarAnox_mtb2_596	1198
CarAnox_mtb2_243	55
CarAnox_mtb2_1149	406
CarAnox_mtb2_361	36474
CarAnox_mtb2_938	3412
CarAnox_mtb2_908	392
CarAnox_mtb2_121	594
CarAnox_mtb2_713	11469
CarAnox_mtb2_1080	1107
CarAnox_mtb2_781	42
CarAnox_mtb2_798	5
CarAnox_mtb2_1422	9580
CarAnox_mtb2_996	195234
CarAnox_mtb2_535	4264
CarAnox_mtb2_1253	69990
CarAnox_mtb2_715	1596
CarAnox_mtb2_621	121
CarAnox_mtb2_1042	26
CarAnox_mtb2_614	5
CarAnox_mtb2_1447	58
CarAnox_mtb2_116	5805
CarAnox_mtb2_244	6661
CarAnox_mtb2_704	463
CarAnox_mtb2_492	582
CarAnox_mtb2_1352	27818
CarAnox_mtb2_768	3518
CarAnox_mtb2_853	62
CarAnox_mtb2_31	13726
CarAnox_mtb2_464	440
CarAnox_mtb2_942	12640
CarAnox_mtb2_1019	30793
CarAnox_mtb2_1375	3950
CarAnox_mtb2_310	246
CarAnox_mtb2_1268	2529
CarAnox_mtb2_636	7444
CarAnox_mtb2_512	3037
CarAnox_mtb2_595	17
CarAnox_mtb2_1284	321
CarAnox_mtb2_59	687
CarAnox_mtb2_1105	4674
CarAnox_mtb2_719	6788
CarAnox_mtb2_1356	104
CarAnox_mtb2_1570	15788
CarAnox_mtb2_1503	10630
CarAnox_mtb2_1244	129
CarAnox_mtb2_1109	71634
CarAnox_mtb2_216	22
CarAnox_mtb2_660	96094
CarAnox_mtb2_820	39
CarAnox_mtb2_762	1405
CarAnox_mtb2_1264	162921
CarAnox_mtb2_997	0
CarAnox_mtb2_42	204
CarAnox_mtb2_1263	24119
CarAnox_mtb2_292	7313
CarAnox_mtb2_1649	10233
CarAnox_mtb2_1604	162433
CarAnox_mtb2_1464	13
CarAnox_mtb2_1392	31
CarAnox_mtb2_1225	32
CarAnox_mtb2_479	9205
CarAnox_mtb2_740	168
CarAnox_mtb2_1220	920
CarAnox_mtb2_616	195384
CarAnox_mtb2_1419	13
CarAnox_mtb2_423	16023
CarAnox_mtb2_358	11591
CarAnox_mtb2_343	31569
CarAnox_mtb2_920	162
CarAnox_mtb2_463	5517
CarAnox_mtb2_1423	7643
CarAnox_mtb2_633	5975
CarAnox_mtb2_868	386
CarAnox_mtb2_1650	10319
CarAnox_mtb2_1415	2888
CarAnox_mtb2_877	157
CarAnox_mtb2_147	6782
CarAnox_mtb2_1518	880
CarAnox_mtb2_1270	3504
CarAnox_mtb2_1438	14
CarAnox_mtb2_959	167
CarAnox_mtb2_1246	8
CarAnox_mtb2_971	1767
CarAnox_mtb2_1057	10
CarAnox_mtb2_645	164499
CarAnox_mtb2_501	11918
CarAnox_mtb2_43	171525
CarAnox_mtb2_1579	73
CarAnox_mtb2_99	47
CarAnox_mtb2_1538	766
CarAnox_mtb2_603	61
CarAnox_mtb2_568	297
CarAnox_mtb2_1594	54916
CarAnox_mtb2_154	242
CarAnox_mtb2_944	274
CarAnox_mtb2_785	5891
CarAnox_mtb2_741	15093
CarAnox_mtb2_954	5419
CarAnox_mtb2_1214	9228
CarAnox_mtb2_218	15
CarAnox_mtb2_428	55561
CarAnox_mtb2_382	7
CarAnox_mtb2_187	189
CarAnox_mtb2_275	3996
CarAnox_mtb2_1312	1652
CarAnox_mtb2_1002	1089
CarAnox_mtb2_281	3456
CarAnox_mtb2_1394	1124
CarAnox_mtb2_1283	6790352
CarAnox_mtb2_1221	5997
CarAnox_mtb2_929	58
CarAnox_mtb2_773	195
CarAnox_mtb2_1620	58596
CarAnox_mtb2_804	1556
CarAnox_mtb2_1528	1488
CarAnox_mtb2_47	380
CarAnox_mtb2_418	544
CarAnox_mtb2_1510	137455
CarAnox_mtb2_205	11
CarAnox_mtb2_919	3761
CarAnox_mtb2_406	507
CarAnox_mtb2_1509	960
CarAnox_mtb2_824	1072
CarAnox_mtb2_106	1916
CarAnox_mtb2_1396	4395005
CarAnox_mtb2_1551	3842
CarAnox_mtb2_1199	396
CarAnox_mtb2_451	28268
CarAnox_mtb2_1564	10147
CarAnox_mtb2_200	7496
CarAnox_mtb2_110	1369
CarAnox_mtb2_1578	101
CarAnox_mtb2_769	4
CarAnox_mtb2_541	50
CarAnox_mtb2_946	68
CarAnox_mtb2_699	9
CarAnox_mtb2_499	18872
CarAnox_mtb2_1023	132
