Genome	D2a900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_83	199351
CarAnox_mtb2_164	35184
CarAnox_mtb2_313	55452
CarAnox_mtb2_400	7136
CarAnox_mtb2_421	35777
CarAnox_mtb2_1600	36
CarAnox_mtb2_888	506
CarAnox_mtb2_1536	287345
CarAnox_mtb2_1101	43167
CarAnox_mtb2_707	69
CarAnox_mtb2_153	278411
CarAnox_mtb2_786	101
CarAnox_mtb2_206	380
CarAnox_mtb2_557	3865
CarAnox_mtb2_349	54120
CarAnox_mtb2_1053	191873
CarAnox_mtb2_301	80514
CarAnox_mtb2_809	593
CarAnox_mtb2_1556	762676
CarAnox_mtb2_128	255
CarAnox_mtb2_1446	11940
CarAnox_mtb2_1552	47606
CarAnox_mtb2_1559	217
CarAnox_mtb2_1679	125
CarAnox_mtb2_1425	38663
CarAnox_mtb2_516	3695
CarAnox_mtb2_941	1936
CarAnox_mtb2_828	212244
CarAnox_mtb2_739	173
CarAnox_mtb2_1274	16053
CarAnox_mtb2_30	13601
CarAnox_mtb2_750	138
CarAnox_mtb2_608	70215
CarAnox_mtb2_572	99
CarAnox_mtb2_1146	45335
CarAnox_mtb2_1398	384255
CarAnox_mtb2_596	94771
CarAnox_mtb2_243	1155
CarAnox_mtb2_1149	126797
CarAnox_mtb2_361	10020
CarAnox_mtb2_938	246803
CarAnox_mtb2_908	233
CarAnox_mtb2_121	5501
CarAnox_mtb2_713	88
CarAnox_mtb2_1080	5972
CarAnox_mtb2_781	81
CarAnox_mtb2_798	11
CarAnox_mtb2_1422	93450
CarAnox_mtb2_996	2631961
CarAnox_mtb2_535	68183
CarAnox_mtb2_1253	15065
CarAnox_mtb2_715	216652
CarAnox_mtb2_621	180
CarAnox_mtb2_1042	106
CarAnox_mtb2_614	14
CarAnox_mtb2_1447	104
CarAnox_mtb2_116	3111
CarAnox_mtb2_244	106436
CarAnox_mtb2_704	82860
CarAnox_mtb2_492	664
CarAnox_mtb2_1352	57845
CarAnox_mtb2_768	10127
CarAnox_mtb2_853	1602
