Genome	D2b900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_504	281020
CarAnox_mtb2_732	68708
CarAnox_mtb2_975	79644
CarAnox_mtb2_692	190280
CarAnox_mtb2_895	237080
CarAnox_mtb2_1322	866
CarAnox_mtb2_1003	44355
CarAnox_mtb2_1433	860790
CarAnox_mtb2_854	24395
CarAnox_mtb2_1067	9906
CarAnox_mtb2_1254	8257
CarAnox_mtb2_109	426
CarAnox_mtb2_1131	12052
CarAnox_mtb2_956	4833
CarAnox_mtb2_1507	71745
CarAnox_mtb2_862	227829
CarAnox_mtb2_907	52157
CarAnox_mtb2_1569	82
CarAnox_mtb2_1015	107937
CarAnox_mtb2_1428	10114
CarAnox_mtb2_1226	16149
CarAnox_mtb2_481	486329
CarAnox_mtb2_151	303247
CarAnox_mtb2_334	751737
CarAnox_mtb2_1465	60
CarAnox_mtb2_937	412034
CarAnox_mtb2_76	1038
CarAnox_mtb2_524	1078
CarAnox_mtb2_1334	65
CarAnox_mtb2_1183	15026
CarAnox_mtb2_459	11120
CarAnox_mtb2_743	2710
CarAnox_mtb2_1429	1454
CarAnox_mtb2_14	941559
CarAnox_mtb2_1320	3719
CarAnox_mtb2_336	187640
CarAnox_mtb2_1562	60565
CarAnox_mtb2_213	4845
CarAnox_mtb2_83	257489
CarAnox_mtb2_164	30
CarAnox_mtb2_313	59370
CarAnox_mtb2_400	10730
CarAnox_mtb2_421	46552
CarAnox_mtb2_1600	77
CarAnox_mtb2_888	1012
CarAnox_mtb2_1536	382230
CarAnox_mtb2_1101	32244
CarAnox_mtb2_707	96
CarAnox_mtb2_153	423903
CarAnox_mtb2_786	167
CarAnox_mtb2_206	623
CarAnox_mtb2_557	4449
CarAnox_mtb2_349	97154
CarAnox_mtb2_1053	272803
CarAnox_mtb2_301	118630
CarAnox_mtb2_809	1600
CarAnox_mtb2_1556	970694
CarAnox_mtb2_128	393
CarAnox_mtb2_1446	13228
CarAnox_mtb2_1552	64746
CarAnox_mtb2_1559	263
CarAnox_mtb2_1679	192
CarAnox_mtb2_1425	47106
CarAnox_mtb2_516	4029
CarAnox_mtb2_941	3318
CarAnox_mtb2_828	307917
CarAnox_mtb2_739	148
CarAnox_mtb2_1274	11920
CarAnox_mtb2_30	18841
CarAnox_mtb2_750	239
CarAnox_mtb2_608	85792
CarAnox_mtb2_572	131
CarAnox_mtb2_1146	414
CarAnox_mtb2_1398	479896
CarAnox_mtb2_596	182743
CarAnox_mtb2_243	1778
CarAnox_mtb2_1149	152667
CarAnox_mtb2_361	8932
CarAnox_mtb2_938	321606
CarAnox_mtb2_908	386
CarAnox_mtb2_121	7356
CarAnox_mtb2_713	68
CarAnox_mtb2_1080	8878
CarAnox_mtb2_781	94
CarAnox_mtb2_798	29
CarAnox_mtb2_1422	143120
CarAnox_mtb2_996	3515876
CarAnox_mtb2_535	101044
CarAnox_mtb2_1253	17897
CarAnox_mtb2_715	310158
CarAnox_mtb2_621	224
CarAnox_mtb2_1042	158
CarAnox_mtb2_614	34
CarAnox_mtb2_1447	185
CarAnox_mtb2_116	2991
CarAnox_mtb2_244	143242
CarAnox_mtb2_704	123745
CarAnox_mtb2_492	892
