Genome	D3a900AM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_955	27608
CarAnox_mtb2_490	10
CarAnox_mtb2_841	989
CarAnox_mtb2_1250	923
CarAnox_mtb2_893	73301
CarAnox_mtb2_601	5342
CarAnox_mtb2_552	52833
CarAnox_mtb2_832	48544
CarAnox_mtb2_880	28905
CarAnox_mtb2_1521	975096
CarAnox_mtb2_94	104
CarAnox_mtb2_226	5639
CarAnox_mtb2_1117	76
CarAnox_mtb2_1388	98896
CarAnox_mtb2_561	2975
CarAnox_mtb2_453	210640
CarAnox_mtb2_1478	2432
CarAnox_mtb2_21	268
CarAnox_mtb2_803	5942
CarAnox_mtb2_775	10650
CarAnox_mtb2_606	40476
CarAnox_mtb2_1681	668
CarAnox_mtb2_748	4120
CarAnox_mtb2_38	17397
CarAnox_mtb2_180	83
CarAnox_mtb2_925	173669
CarAnox_mtb2_420	25115
CarAnox_mtb2_1549	62800
CarAnox_mtb2_1684	133269
CarAnox_mtb2_591	109882
CarAnox_mtb2_1079	61941
CarAnox_mtb2_983	19605
CarAnox_mtb2_1171	44780
CarAnox_mtb2_62	9164
CarAnox_mtb2_885	58
CarAnox_mtb2_563	543359
CarAnox_mtb2_1508	26803
CarAnox_mtb2_1007	1345
CarAnox_mtb2_1413	8471
CarAnox_mtb2_923	230
CarAnox_mtb2_1033	261259
CarAnox_mtb2_628	24
CarAnox_mtb2_214	16831
CarAnox_mtb2_1432	150708
CarAnox_mtb2_32	7157
CarAnox_mtb2_742	33359
CarAnox_mtb2_864	41
CarAnox_mtb2_1554	11606
CarAnox_mtb2_1372	79136
CarAnox_mtb2_330	16188
CarAnox_mtb2_1371	20382
CarAnox_mtb2_1605	13885
CarAnox_mtb2_718	3329
CarAnox_mtb2_751	95962
CarAnox_mtb2_1593	291107
CarAnox_mtb2_13	66
CarAnox_mtb2_1414	45173
CarAnox_mtb2_979	469
CarAnox_mtb2_688	185
CarAnox_mtb2_86	29544
CarAnox_mtb2_198	337
CarAnox_mtb2_522	134079
CarAnox_mtb2_504	51175
CarAnox_mtb2_732	24050
CarAnox_mtb2_975	17297
CarAnox_mtb2_692	60226
CarAnox_mtb2_895	153507
CarAnox_mtb2_1322	908
CarAnox_mtb2_1003	35745
CarAnox_mtb2_1433	169942
CarAnox_mtb2_854	33442
CarAnox_mtb2_1067	4133
CarAnox_mtb2_1254	14230
CarAnox_mtb2_109	390
CarAnox_mtb2_1131	3876
CarAnox_mtb2_956	1449
CarAnox_mtb2_1507	2156
CarAnox_mtb2_862	223703
CarAnox_mtb2_907	24814
CarAnox_mtb2_1569	33
CarAnox_mtb2_1015	122565
CarAnox_mtb2_1428	2572
CarAnox_mtb2_1226	12095
CarAnox_mtb2_481	458985
CarAnox_mtb2_151	360766
CarAnox_mtb2_334	305268
CarAnox_mtb2_1465	49
CarAnox_mtb2_937	81619
CarAnox_mtb2_76	285
CarAnox_mtb2_524	275
CarAnox_mtb2_1334	12
CarAnox_mtb2_1183	12200
CarAnox_mtb2_459	5012
CarAnox_mtb2_743	4625
CarAnox_mtb2_1429	475
CarAnox_mtb2_14	79974
CarAnox_mtb2_1320	845
CarAnox_mtb2_336	46171
CarAnox_mtb2_1562	89737
CarAnox_mtb2_213	1278
CarAnox_mtb2_83	207086
CarAnox_mtb2_164	13635
CarAnox_mtb2_313	41479
CarAnox_mtb2_400	6805
CarAnox_mtb2_421	24259
CarAnox_mtb2_1600	34
CarAnox_mtb2_888	403
CarAnox_mtb2_1536	101995
CarAnox_mtb2_1101	7194
CarAnox_mtb2_707	100
CarAnox_mtb2_153	505126
CarAnox_mtb2_786	124
CarAnox_mtb2_206	1573
CarAnox_mtb2_557	1126
CarAnox_mtb2_349	59480
CarAnox_mtb2_1053	340788
CarAnox_mtb2_301	37629
CarAnox_mtb2_809	924
CarAnox_mtb2_1556	652458
CarAnox_mtb2_128	136
CarAnox_mtb2_1446	4531
CarAnox_mtb2_1552	36063
CarAnox_mtb2_1559	81
CarAnox_mtb2_1679	159
CarAnox_mtb2_1425	16660
CarAnox_mtb2_516	1491
CarAnox_mtb2_941	1092
CarAnox_mtb2_828	146666
CarAnox_mtb2_739	116
CarAnox_mtb2_1274	12987
CarAnox_mtb2_30	14327
CarAnox_mtb2_750	111
CarAnox_mtb2_608	15414
CarAnox_mtb2_572	72
CarAnox_mtb2_1146	33057
CarAnox_mtb2_1398	84847
CarAnox_mtb2_596	166178
CarAnox_mtb2_243	1554
CarAnox_mtb2_1149	94368
CarAnox_mtb2_361	783
CarAnox_mtb2_938	241331
CarAnox_mtb2_908	161
CarAnox_mtb2_121	1970
CarAnox_mtb2_713	190518
CarAnox_mtb2_1080	4399
CarAnox_mtb2_781	117
CarAnox_mtb2_798	4
CarAnox_mtb2_1422	49039
CarAnox_mtb2_996	2395797
CarAnox_mtb2_535	111482
CarAnox_mtb2_1253	10637
CarAnox_mtb2_715	394599
CarAnox_mtb2_621	215
CarAnox_mtb2_1042	99
CarAnox_mtb2_614	22
CarAnox_mtb2_1447	91
CarAnox_mtb2_116	1973
CarAnox_mtb2_244	190529
CarAnox_mtb2_704	103770
CarAnox_mtb2_492	248
CarAnox_mtb2_1352	23413
CarAnox_mtb2_768	15748
CarAnox_mtb2_853	288
CarAnox_mtb2_31	60315
CarAnox_mtb2_464	341729
CarAnox_mtb2_942	18130
CarAnox_mtb2_1019	8685
CarAnox_mtb2_1375	193637
CarAnox_mtb2_310	34
CarAnox_mtb2_1268	373928
CarAnox_mtb2_636	18694
CarAnox_mtb2_512	21546
CarAnox_mtb2_595	29
CarAnox_mtb2_1284	157792
CarAnox_mtb2_59	665
CarAnox_mtb2_1105	6029
CarAnox_mtb2_719	23666
CarAnox_mtb2_1356	123650
CarAnox_mtb2_1570	24173
CarAnox_mtb2_1503	5971
CarAnox_mtb2_1244	76
CarAnox_mtb2_1109	181965
CarAnox_mtb2_216	151
CarAnox_mtb2_660	24447
CarAnox_mtb2_820	325
CarAnox_mtb2_762	1071
CarAnox_mtb2_1264	217970
CarAnox_mtb2_997	2
CarAnox_mtb2_42	50049
CarAnox_mtb2_1263	139884
CarAnox_mtb2_292	673090
CarAnox_mtb2_1649	2289
CarAnox_mtb2_1604	16638
CarAnox_mtb2_1464	50
CarAnox_mtb2_1392	121571
CarAnox_mtb2_1225	35
CarAnox_mtb2_479	6725
CarAnox_mtb2_740	24
CarAnox_mtb2_1220	140
CarAnox_mtb2_616	174081
CarAnox_mtb2_1419	7
CarAnox_mtb2_423	24532
CarAnox_mtb2_358	16845
CarAnox_mtb2_343	122787
CarAnox_mtb2_920	307338
CarAnox_mtb2_463	7541
CarAnox_mtb2_1423	19375
CarAnox_mtb2_633	254863
CarAnox_mtb2_868	1953
CarAnox_mtb2_1650	345121
CarAnox_mtb2_1415	781
CarAnox_mtb2_877	721864
CarAnox_mtb2_147	3290
CarAnox_mtb2_1518	1141608
CarAnox_mtb2_1270	522452
CarAnox_mtb2_1438	25
CarAnox_mtb2_959	34
CarAnox_mtb2_1246	57
CarAnox_mtb2_971	104443
CarAnox_mtb2_1057	16
CarAnox_mtb2_645	31538
CarAnox_mtb2_501	18791
CarAnox_mtb2_43	16339
CarAnox_mtb2_1579	9020
CarAnox_mtb2_99	105
CarAnox_mtb2_1538	9244
CarAnox_mtb2_603	173
CarAnox_mtb2_568	86721
CarAnox_mtb2_1594	26394
CarAnox_mtb2_154	369861
